prop_data,prop_train,lower,r,rMSD
1,0.9,30,0.6161228893669272,302.0681503644691
1,0.9,35,0.7582694172140402,249.51030563188496
1,0.9,40,0.8339830368280414,210.54398229368581
1,0.9,45,0.8688821333037099,188.5660956362752
1,0.9,50,0.8815991548642197,179.74084841637006
1,0.9,55,0.8824992276925466,179.14058125150575
1,0.9,60,0.8764872566533004,183.45974174464666
1,0.9,65,0.8660405881160615,190.589695416661
1,0.9,70,0.8515944015793203,199.92263328723806
1,0.9,75,0.8349820957313212,210.01484934235617
1,0.9,80,0.8168638336709982,220.35978685135993
1,0.9,85,0.7962684124500106,231.23542364872813
1,0.9,90,0.7739348948398586,242.2795760134813
1,0.9,95,0.7500698367208136,253.22034178087077
1,0.9,100,0.7242447772871872,264.102976749388
1,0.9,105,0.6959493661947794,275.1877399554297
1,0.9,110,0.6667766070491755,285.7030314660336
1,0.9,115,0.6358103753666189,295.903880997348
1,0.9,120,0.6031818407888211,305.76515728156534
1,0.9,125,0.5697988670116876,315.1110149480102
1,0.9,130,0.5365615622778847,323.53060603722804
1,0.9,135,0.5035221998857607,331.27676421028235
1,0.9,140,0.4711935766096366,338.4284576722775
1,0.9,145,0.43783733013171305,345.2158372908356
1,0.9,150,0.4050667520523881,351.5587604032019
