camera_id,handcounted,handcount,test_case,visually_recheck,setDate,flipDate,days,fID,repl,treat,NstartF,NstartM,box,ccoord,rcoord,deadF,deadM,cens,carriedF,carriedM,X__1,X__2,lower_thresh,area_linear,predicted_count_linear,egg_count
IMG_1910.JPG,yes,356,yes,NA,2016-02-29T00:00:00Z,2016-03-08T00:00:00Z,8,S27D80_a,a,HS,24,6,5,2,7,0,0,0,0,0,NA,NA,46,69040,525.052045390269,356
IMG_1911.JPG,yes,319,yes,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S33D99_a,a,HS,16,6,4,6,9,0,0,0,0,0,NA,NA,46,62049,471.8852022656547,319
IMG_1912.JPG,yes,321,yes,NA,2016-03-02T00:00:00Z,2016-03-08T00:00:00Z,6,S5D13_b,b,HS,19,6,2,2,10,0,0,0,0,0,NA,NA,46,53558,407.3107973205682,321
IMG_1913.JPG,yes,136,yes,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S37D109_a,a,HS,17,6,3,9,4,0,0,0,0,0,NA,NA,46,33470,254.54072942080393,136
IMG_1914.JPG,yes,732,yes,NA,2016-02-29T00:00:00Z,2016-03-08T00:00:00Z,8,S35D103_a,a,HS,24,6,4,3,10,0,0,0,0,0,image wth no repl id,NA,46,79669,605.8860284501353,732
IMG_1916.JPG,yes,76,yes,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S27D80_b,b,HS,19,6,3,9,7,0,0,0,0,0,NA,NA,46,8412,63.973606689208324,76
IMG_1917.JPG,yes,236,yes,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S1D3_a,a,HS,21,6,2,2,6,0,0,0,0,0,NA,NA,46,18586,141.34729599686472,236
IMG_1918.JPG,NA,NA,NA,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S45D134_a,a,HS,14,6,2,5,3,0,0,0,0,0,NA,NA,46,18075,137.4611199366905,137.4611199366905
IMG_1919.JPG,NA,NA,NA,NA,2016-02-29T00:00:00Z,2016-03-08T00:00:00Z,8,S23D69_a,a,HS,19,6,2,2,9,0,0,0,0,0,NA,NA,46,33603,255.55219990221914,255.55219990221914
IMG_1920.JPG,NA,NA,NA,NA,2016-02-29T00:00:00Z,2016-03-08T00:00:00Z,8,S9D27_a,a,HS,20,6,2,8,9,1,0,0,0,0,NA,NA,46,33992,258.5105609343283,258.5105609343283
IMG_1922.JPG,NA,NA,NA,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S3D7_a,a,STD,15,6,3,5,4,0,0,0,0,0,NA,NA,46,12949,98.47767867553003,98.47767867553003
IMG_1924.JPG,NA,NA,NA,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S11D32_b,b,STD,16,6,2,10,8,0,0,0,0,0,NA,NA,46,72827,553.8523364663546,553.8523364663546
IMG_1925.JPG,NA,NA,NA,NA,2016-02-29T00:00:00Z,2016-03-08T00:00:00Z,8,S33D99_a,a,STD,21,6,3,5,9,0,0,0,0,0,NA,NA,46,127998,973.4300652645372,973.4300652645372
