Sire	Dam	Diet	Nreplicates	NDamsPerSire
S7	D19	DR	2	2
S7	D21	C	2	2
S7	D21	DR	2	2
S7	D21	HS	2	2
S9	D25	DR	1	3
S9	D25	C	1	3
S9	D25	HS	0	3
S9	D26	DR	1	3
S9	D26	C	1	3
S9	D26	HS	0	3
S9	D27	C	2	3
S9	D27	DR	2	3
S9	D27	HS	1	3
