camera_id,lower_thresh,area
IMG_1868.JPG,48,221941
IMG_1868.JPG,49,216431
IMG_1868.JPG,50,211106
IMG_1868.JPG,51,206222
IMG_1868.JPG,52,201545
IMG_1868.JPG,53,197195
IMG_1868.JPG,54,193076
IMG_1871.JPG,48,186543
IMG_1871.JPG,49,182062
IMG_1871.JPG,50,177854
IMG_1871.JPG,51,174058
IMG_1871.JPG,52,170317
IMG_1871.JPG,53,166866
IMG_1871.JPG,54,163613
IMG_1875.JPG,48,116098
IMG_1875.JPG,49,112106
IMG_1875.JPG,50,108095
IMG_1875.JPG,51,104404
IMG_1875.JPG,52,100959
IMG_1875.JPG,53,97558
IMG_1875.JPG,54,94141
IMG_1878.JPG,48,121050
IMG_1878.JPG,49,118298
IMG_1878.JPG,50,115598
IMG_1878.JPG,51,113069
IMG_1878.JPG,52,110662
IMG_1878.JPG,53,108376
IMG_1878.JPG,54,106176
IMG_1879.JPG,48,131637
IMG_1879.JPG,49,128693
IMG_1879.JPG,50,125860
IMG_1879.JPG,51,123129
IMG_1879.JPG,52,120511
IMG_1879.JPG,53,118116
IMG_1879.JPG,54,115672
IMG_1880.JPG,48,333032
IMG_1880.JPG,49,321942
IMG_1880.JPG,50,311282
IMG_1880.JPG,51,300888
IMG_1880.JPG,52,290932
IMG_1880.JPG,53,281475
IMG_1880.JPG,54,272147
IMG_1882.JPG,48,109112
IMG_1882.JPG,49,105925
IMG_1882.JPG,50,102994
IMG_1882.JPG,51,100032
IMG_1882.JPG,52,97101
IMG_1882.JPG,53,94393
IMG_1882.JPG,54,91726
IMG_1886.JPG,48,77357
IMG_1886.JPG,49,75157
IMG_1886.JPG,50,73047
IMG_1886.JPG,51,70973
IMG_1886.JPG,52,68976
IMG_1886.JPG,53,67052
IMG_1886.JPG,54,65214
IMG_1887.JPG,48,86071
IMG_1887.JPG,49,83847
IMG_1887.JPG,50,81574
IMG_1887.JPG,51,79471
IMG_1887.JPG,52,77437
IMG_1887.JPG,53,75468
IMG_1887.JPG,54,73721
IMG_1888.JPG,48,52304
IMG_1888.JPG,49,50198
IMG_1888.JPG,50,48199
IMG_1888.JPG,51,46358
IMG_1888.JPG,52,44604
IMG_1888.JPG,53,42904
IMG_1888.JPG,54,41237
IMG_1891.JPG,48,40519
IMG_1891.JPG,49,39232
IMG_1891.JPG,50,37971
IMG_1891.JPG,51,36738
IMG_1891.JPG,52,35616
IMG_1891.JPG,53,34553
IMG_1891.JPG,54,33579
IMG_1893.JPG,48,54281
IMG_1893.JPG,49,52676
IMG_1893.JPG,50,51025
IMG_1893.JPG,51,49602
IMG_1893.JPG,52,48207
IMG_1893.JPG,53,46813
IMG_1893.JPG,54,45489
IMG_1894.JPG,48,86946
IMG_1894.JPG,49,84810
IMG_1894.JPG,50,82728
IMG_1894.JPG,51,80774
IMG_1894.JPG,52,78911
IMG_1894.JPG,53,77093
IMG_1894.JPG,54,75317
IMG_1895.JPG,48,37532
IMG_1895.JPG,49,36174
IMG_1895.JPG,50,34867
IMG_1895.JPG,51,33671
IMG_1895.JPG,52,32543
IMG_1895.JPG,53,31521
IMG_1895.JPG,54,30551
IMG_1896.JPG,48,86303
IMG_1896.JPG,49,83001
IMG_1896.JPG,50,79911
IMG_1896.JPG,51,77044
IMG_1896.JPG,52,74386
IMG_1896.JPG,53,71989
IMG_1896.JPG,54,69653
IMG_1897.JPG,48,40748
IMG_1897.JPG,49,39425
IMG_1897.JPG,50,38157
IMG_1897.JPG,51,37024
IMG_1897.JPG,52,35965
IMG_1897.JPG,53,35009
IMG_1897.JPG,54,34079
IMG_1898.JPG,48,65241
IMG_1898.JPG,49,63254
IMG_1898.JPG,50,61218
IMG_1898.JPG,51,59283
IMG_1898.JPG,52,57478
IMG_1898.JPG,53,55645
IMG_1898.JPG,54,53887
IMG_1899.JPG,48,26313
IMG_1899.JPG,49,25462
IMG_1899.JPG,50,24601
IMG_1899.JPG,51,23758
IMG_1899.JPG,52,22985
IMG_1899.JPG,53,22206
IMG_1899.JPG,54,21484
IMG_1900.JPG,48,71639
IMG_1900.JPG,49,67681
IMG_1900.JPG,50,63796
IMG_1900.JPG,51,60201
IMG_1900.JPG,52,56514
IMG_1900.JPG,53,53030
IMG_1900.JPG,54,49709
IMG_1901.JPG,48,56025
IMG_1901.JPG,49,54460
IMG_1901.JPG,50,52987
IMG_1901.JPG,51,51564
IMG_1901.JPG,52,50132
IMG_1901.JPG,53,48823
IMG_1901.JPG,54,47587
IMG_1902.JPG,48,50132
IMG_1902.JPG,49,48701
IMG_1902.JPG,50,47320
IMG_1902.JPG,51,46051
IMG_1902.JPG,52,44766
IMG_1902.JPG,53,43508
IMG_1902.JPG,54,42309
IMG_1903.JPG,48,85041
IMG_1903.JPG,49,82425
IMG_1903.JPG,50,79889
IMG_1903.JPG,51,77662
IMG_1903.JPG,52,75430
IMG_1903.JPG,53,73371
IMG_1903.JPG,54,71314
IMG_1904.JPG,48,21913
IMG_1904.JPG,49,21329
IMG_1904.JPG,50,20722
IMG_1904.JPG,51,20154
IMG_1904.JPG,52,19575
IMG_1904.JPG,53,19059
IMG_1904.JPG,54,18512
IMG_1905.JPG,48,33191
IMG_1905.JPG,49,32205
IMG_1905.JPG,50,31282
IMG_1905.JPG,51,30383
IMG_1905.JPG,52,29517
IMG_1905.JPG,53,28668
IMG_1905.JPG,54,27877
IMG_1906.JPG,48,18511
IMG_1906.JPG,49,17630
IMG_1906.JPG,50,16855
IMG_1906.JPG,51,16146
IMG_1906.JPG,52,15438
IMG_1906.JPG,53,14816
IMG_1906.JPG,54,14188
IMG_1907.JPG,48,42015
IMG_1907.JPG,49,40396
IMG_1907.JPG,50,38889
IMG_1907.JPG,51,37532
IMG_1907.JPG,52,36269
IMG_1907.JPG,53,35058
IMG_1907.JPG,54,33958
IMG_1908.JPG,48,52274
IMG_1908.JPG,49,50319
IMG_1908.JPG,50,48453
IMG_1908.JPG,51,46803
IMG_1908.JPG,52,45228
IMG_1908.JPG,53,43737
IMG_1908.JPG,54,42271
IMG_1909.JPG,48,77357
IMG_1909.JPG,49,74701
IMG_1909.JPG,50,72220
IMG_1909.JPG,51,69958
IMG_1909.JPG,52,67889
IMG_1909.JPG,53,66053
IMG_1909.JPG,54,64350
IMG_1910.JPG,48,62666
IMG_1910.JPG,49,60000
IMG_1910.JPG,50,57653
IMG_1910.JPG,51,55499
IMG_1910.JPG,52,53548
