"cameraid"	"setDate"	"flipDate"	"days"	"id"	"fID"	"repl"	"treat"	"NstartF"	"NstartM"	"deadF"	"deadM"	"cens"	"carriedF"	"carriedM"	"Notes"	"img_size"	"egg_count"	"NewAge"	"lifespan_age"	"age"	"sireid"	"damid"	"n_females"	"eggs_per_female"
"IMG_2599.JPG"	"2016-03-31"	"2016-04-05"	5	"S11D31_a_STD"	"S11D31_a"	"a"	"STD"	14	6	0	0	0	0	0	NA	2372	876.007180232283	7	4	4	"S11"	"D31"	14	62.571941445163
"IMG_3445.JPG"	"2016-03-31"	"2016-04-12"	12	"S11D31_a_STD"	"S11D31_a"	"a"	"STD"	14	6	0	0	0	0	0	NA	2525	1076.21214020772	14	11	11	"S11"	"D31"	14	76.8722957291229
"IMG_4273.JPG"	"2016-03-31"	"2016-04-19"	19	"S11D31_a_STD"	"S11D31_a"	"a"	"STD"	14	6	0	0	0	0	0	NA	3009	763.634431210248	21	18	18	"S11"	"D31"	14	54.5453165150177
"IMG_3734.JPG"	"2016-03-31"	"2016-04-26"	26	"S11D31_a_STD"	"S11D31_a"	"a"	"STD"	14	6	0	0	0	0	0	NA	3004	721.726490152482	28	25	25	"S11"	"D31"	14	51.5518921537487
"IMG_4323.JPG"	"2016-03-31"	"2016-05-03"	33	"S11D31_a_STD"	"S11D31_a"	"a"	"STD"	14	6	0	0	0	0	0	NA	3016	614.330101985174	35	32	32	"S11"	"D31"	13	47.2561616911672
"IMG_4918.JPG"	"2016-03-31"	"2016-05-10"	40	"S11D31_a_STD"	"S11D31_a"	"a"	"STD"	14	6	0	0	0	0	0	NA	3096	356.758151404842	42	39	39	"S11"	"D31"	13	27.4429347234494
"IMG_5289.JPG"	"2016-03-31"	"2016-05-17"	47	"S11D31_a_STD"	"S11D31_a"	"a"	"STD"	14	6	0	0	0	0	0	NA	3013	324.658426372936	49	46	46	"S11"	"D31"	13	24.9737251056105
"IMG_5562.JPG"	"2016-03-31"	"2016-05-24"	54	"S11D31_a_STD"	"S11D31_a"	"a"	"STD"	14	6	0	0	0	0	0	NA	3180	112.915800002032	56	53	53	"S11"	"D31"	13	8.68583076938711
"IMG_5629.JPG"	"2016-03-31"	"2016-05-31"	61	"S11D31_a_STD"	"S11D31_a"	"a"	"STD"	14	6	1	0	0	0	0	NA	3256	22	63	60	60	"S11"	"D31"	7	3.14285714285714
"IMG_5708.JPG"	"2016-03-31"	"2016-06-07"	68	"S11D31_a_STD"	"S11D31_a"	"a"	"STD"	14	6	0	0	0	0	0	NA	3021	0	70	67	67	"S11"	"D31"	3	0
"IMG_1927.JPG"	"2016-02-29"	"2016-03-08"	8	"S11D32_a_STD"	"S11D32_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	2104	820.48249809807	10	7	7	"S11"	"D32"	24	34.1867707540862
"IMG_2163.JPG"	"2016-02-29"	"2016-03-15"	15	"S11D32_a_STD"	"S11D32_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	2032	1343.17294682418	17	14	14	"S11"	"D32"	24	55.9655394510074
"IMG_2343.JPG"	"2016-02-29"	"2016-03-22"	22	"S11D32_a_STD"	"S11D32_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	2140	902.629899415233	24	21	21	"S11"	"D32"	24	37.6095791423014
