camera_id,lower_thresh,area
IMG_1868.JPG,30,515494
IMG_1868.JPG,35,365279
IMG_1868.JPG,40,287539
IMG_1868.JPG,45,241359
IMG_1868.JPG,50,211106
IMG_1868.JPG,55,189136
IMG_1868.JPG,60,171583
IMG_1868.JPG,65,156552
IMG_1868.JPG,70,143101
IMG_1868.JPG,75,130904
IMG_1868.JPG,80,119439
IMG_1871.JPG,30,439601
IMG_1871.JPG,35,305397
IMG_1871.JPG,40,239706
IMG_1871.JPG,45,202216
IMG_1871.JPG,50,177854
IMG_1871.JPG,55,160575
IMG_1871.JPG,60,147295
IMG_1871.JPG,65,136440
IMG_1871.JPG,70,127047
IMG_1871.JPG,75,118709
IMG_1871.JPG,80,111245
IMG_1875.JPG,30,317778
IMG_1875.JPG,35,210544
IMG_1875.JPG,40,159774
IMG_1875.JPG,45,129920
IMG_1875.JPG,50,108095
IMG_1875.JPG,55,90996
IMG_1875.JPG,60,77113
IMG_1875.JPG,65,66421
IMG_1875.JPG,70,57723
IMG_1875.JPG,75,50507
IMG_1875.JPG,80,44121
IMG_1878.JPG,30,274898
IMG_1878.JPG,35,194011
IMG_1878.JPG,40,154045
IMG_1878.JPG,45,130678
IMG_1878.JPG,50,115598
IMG_1878.JPG,55,104151
IMG_1878.JPG,60,95004
IMG_1878.JPG,65,87099
IMG_1878.JPG,70,79709
IMG_1878.JPG,75,72985
IMG_1878.JPG,80,66703
IMG_1879.JPG,30,294293
IMG_1879.JPG,35,204243
IMG_1879.JPG,40,164327
IMG_1879.JPG,45,141710
IMG_1879.JPG,50,125860
IMG_1879.JPG,55,113255
IMG_1879.JPG,60,102671
IMG_1879.JPG,65,93359
IMG_1879.JPG,70,84919
IMG_1879.JPG,75,77026
IMG_1879.JPG,80,69549
IMG_1880.JPG,30,758494
IMG_1880.JPG,35,569352
IMG_1880.JPG,40,450029
IMG_1880.JPG,45,369858
IMG_1880.JPG,50,311282
IMG_1880.JPG,55,262972
IMG_1880.JPG,60,218470
IMG_1880.JPG,65,176889
IMG_1880.JPG,70,138507
IMG_1880.JPG,75,106803
IMG_1880.JPG,80,84050
IMG_1882.JPG,30,236188
IMG_1882.JPG,35,172347
IMG_1882.JPG,40,140732
IMG_1882.JPG,45,119365
IMG_1882.JPG,50,102994
IMG_1882.JPG,55,89027
IMG_1882.JPG,60,76576
IMG_1882.JPG,65,65113
IMG_1882.JPG,70,54326
IMG_1882.JPG,75,44214
IMG_1882.JPG,80,34980
IMG_1886.JPG,30,165083
IMG_1886.JPG,35,123252
IMG_1886.JPG,40,99964
IMG_1886.JPG,45,84499
IMG_1886.JPG,50,73047
IMG_1886.JPG,55,63395
IMG_1886.JPG,60,55038
IMG_1886.JPG,65,47620
IMG_1886.JPG,70,40753
IMG_1886.JPG,75,34578
IMG_1886.JPG,80,29129
IMG_1887.JPG,30,192814
IMG_1887.JPG,35,137619
IMG_1887.JPG,40,110429
IMG_1887.JPG,45,93593
IMG_1887.JPG,50,81574
IMG_1887.JPG,55,71923
IMG_1887.JPG,60,63679
IMG_1887.JPG,65,56432
IMG_1887.JPG,70,49797
IMG_1887.JPG,75,43632
IMG_1887.JPG,80,37863
IMG_1888.JPG,30,152373
IMG_1888.JPG,35,96732
IMG_1888.JPG,40,73811
IMG_1888.JPG,45,59099
IMG_1888.JPG,50,48199
IMG_1888.JPG,55,39592
IMG_1888.JPG,60,32290
IMG_1888.JPG,65,26068
IMG_1888.JPG,70,20678
IMG_1888.JPG,75,15940
IMG_1888.JPG,80,11901
IMG_1891.JPG,30,150310
IMG_1891.JPG,35,79857
IMG_1891.JPG,40,56506
IMG_1891.JPG,45,45234
IMG_1891.JPG,50,37971
IMG_1891.JPG,55,32615
IMG_1891.JPG,60,28591
IMG_1891.JPG,65,25175
IMG_1891.JPG,70,22194
IMG_1891.JPG,75,19404
IMG_1891.JPG,80,16892
IMG_1893.JPG,30,192154
IMG_1893.JPG,35,105574
IMG_1893.JPG,40,74690
IMG_1893.JPG,45,60097
IMG_1893.JPG,50,51025
IMG_1893.JPG,55,44139
IMG_1893.JPG,60,38040
IMG_1893.JPG,65,32631
IMG_1893.JPG,70,27792
IMG_1893.JPG,75,23391
IMG_1893.JPG,80,19299
IMG_1894.JPG,30,206667
IMG_1894.JPG,35,140261
IMG_1894.JPG,40,110976
IMG_1894.JPG,45,94282
IMG_1894.JPG,50,82728
IMG_1894.JPG,55,73687
IMG_1894.JPG,60,66195
IMG_1894.JPG,65,59298
IMG_1894.JPG,70,52833
IMG_1894.JPG,75,46807
IMG_1894.JPG,80,41014
IMG_1895.JPG,30,149884
IMG_1895.JPG,35,81231
IMG_1895.JPG,40,55073
IMG_1895.JPG,45,42416
IMG_1895.JPG,50,34867
IMG_1895.JPG,55,29687
IMG_1895.JPG,60,25892
IMG_1895.JPG,65,22947
IMG_1895.JPG,70,20449
IMG_1895.JPG,75,18353
IMG_1895.JPG,80,16534
IMG_1896.JPG,30,279192
IMG_1896.JPG,35,178757
IMG_1896.JPG,40,127074
IMG_1896.JPG,45,98044
IMG_1896.JPG,50,79911
IMG_1896.JPG,55,67512
IMG_1896.JPG,60,58207
IMG_1896.JPG,65,50638
IMG_1896.JPG,70,44095
IMG_1896.JPG,75,38110
IMG_1896.JPG,80,32682
IMG_1897.JPG,30,146106
IMG_1897.JPG,35,83460
IMG_1897.JPG,40,57629
IMG_1897.JPG,45,45414
IMG_1897.JPG,50,38157
IMG_1897.JPG,55,33181
IMG_1897.JPG,60,29241
IMG_1897.JPG,65,25714
IMG_1897.JPG,70,22568
IMG_1897.JPG,75,19691
IMG_1897.JPG,80,17025
IMG_1898.JPG,30,146452
IMG_1898.JPG,35,107251
IMG_1898.JPG,40,86183
IMG_1898.JPG,45,71960
IMG_1898.JPG,50,61218
IMG_1898.JPG,55,52172
IMG_1898.JPG,60,44702
IMG_1898.JPG,65,38135
IMG_1898.JPG,70,32270
IMG_1898.JPG,75,26801
IMG_1898.JPG,80,21951
IMG_1899.JPG,30,96189
IMG_1899.JPG,35,51280
IMG_1899.JPG,40,36426
IMG_1899.JPG,45,29286
IMG_1899.JPG,50,24601
IMG_1899.JPG,55,20793
IMG_1899.JPG,60,17498
IMG_1899.JPG,65,14611
IMG_1899.JPG,70,11924
IMG_1899.JPG,75,9604
IMG_1899.JPG,80,7593
IMG_1900.JPG,30,210647
IMG_1900.JPG,35,146246
IMG_1900.JPG,40,110315
IMG_1900.JPG,45,84630
IMG_1900.JPG,50,63796
IMG_1900.JPG,55,46522
IMG_1900.JPG,60,32426
IMG_1900.JPG,65,21388
IMG_1900.JPG,70,13489
IMG_1900.JPG,75,8507
IMG_1900.JPG,80,5196
IMG_1901.JPG,30,143128
IMG_1901.JPG,35,96427
IMG_1901.JPG,40,74180
IMG_1901.JPG,45,61447
IMG_1901.JPG,50,52987
IMG_1901.JPG,55,46353
IMG_1901.JPG,60,40498
IMG_1901.JPG,65,35050
IMG_1901.JPG,70,30163
IMG_1901.JPG,75,25789
IMG_1901.JPG,80,21604
IMG_1902.JPG,30,114816
IMG_1902.JPG,35,81164
IMG_1902.JPG,40,65006
IMG_1902.JPG,45,54761
IMG_1902.JPG,50,47320
IMG_1902.JPG,55,41212
IMG_1902.JPG,60,36315
IMG_1902.JPG,65,31986
IMG_1902.JPG,70,27942
IMG_1902.JPG,75,24177
IMG_1902.JPG,80,20718
IMG_1903.JPG,30,246849
IMG_1903.JPG,35,159120
IMG_1903.JPG,40,117120
IMG_1903.JPG,45,94346
IMG_1903.JPG,50,79889
IMG_1903.JPG,55,69402
IMG_1903.JPG,60,60707
IMG_1903.JPG,65,52793
IMG_1903.JPG,70,45406
IMG_1903.JPG,75,38385
IMG_1903.JPG,80,31869
IMG_1904.JPG,30,36116
IMG_1904.JPG,35,31166
IMG_1904.JPG,40,27222
IMG_1904.JPG,45,23771
IMG_1904.JPG,50,20722
IMG_1904.JPG,55,18004
IMG_1904.JPG,60,15589
IMG_1904.JPG,65,13243
IMG_1904.JPG,70,10867
IMG_1904.JPG,75,8589
IMG_1904.JPG,80,6452
IMG_1905.JPG,30,72140
IMG_1905.JPG,35,53013
IMG_1905.JPG,40,42911
IMG_1905.JPG,45,36343
IMG_1905.JPG,50,31282
IMG_1905.JPG,55,27110
IMG_1905.JPG,60,23414
IMG_1905.JPG,65,20217
IMG_1905.JPG,70,17306
IMG_1905.JPG,75,14710
IMG_1905.JPG,80,12481
IMG_1906.JPG,30,76323
IMG_1906.JPG,35,42544
IMG_1906.JPG,40,28452
IMG_1906.JPG,45,21422
IMG_1906.JPG,50,16855
IMG_1906.JPG,55,13579
IMG_1906.JPG,60,10903
IMG_1906.JPG,65,8691
IMG_1906.JPG,70,6732
IMG_1906.JPG,75,5094
IMG_1906.JPG,80,3776
IMG_1907.JPG,30,150912
IMG_1907.JPG,35,89547
IMG_1907.JPG,40,62227
IMG_1907.JPG,45,47782
IMG_1907.JPG,50,38889
IMG_1907.JPG,55,32886
IMG_1907.JPG,60,28391
IMG_1907.JPG,65,24704
IMG_1907.JPG,70,21724
IMG_1907.JPG,75,18989
IMG_1907.JPG,80,16622
IMG_1908.JPG,30,190872
IMG_1908.JPG,35,114258
IMG_1908.JPG,40,78958
IMG_1908.JPG,45,59702
IMG_1908.JPG,50,48453
IMG_1908.JPG,55,41005
IMG_1908.JPG,60,35756
IMG_1908.JPG,65,31769
IMG_1908.JPG,70,28369
IMG_1908.JPG,75,25630
IMG_1908.JPG,80,23207
IMG_1909.JPG,30,301722
IMG_1909.JPG,35,174045
IMG_1909.JPG,40,116143
IMG_1909.JPG,45,87754
IMG_1909.JPG,50,72220
IMG_1909.JPG,55,62734
IMG_1909.JPG,60,55771
IMG_1909.JPG,65,50180
IMG_1909.JPG,70,45488
IMG_1909.JPG,75,41277
IMG_1909.JPG,80,37395
IMG_1910.JPG,30,315618
IMG_1910.JPG,35,167246
IMG_1910.JPG,40,103101
IMG_1910.JPG,45,72877
IMG_1910.JPG,50,57653
IMG_1910.JPG,55,48975
IMG_1910.JPG,60,43199
IMG_1910.JPG,65,38903
IMG_1910.JPG,70,35481
IMG_1910.JPG,75,32502
IMG_1910.JPG,80,29855
IMG_1911.JPG,30,228314
IMG_1911.JPG,35,126604
IMG_1911.JPG,40,86342
IMG_1911.JPG,45,65075
IMG_1911.JPG,50,52503
IMG_1911.JPG,55,44370
IMG_1911.JPG,60,38507
IMG_1911.JPG,65,34143
IMG_1911.JPG,70,30543
IMG_1911.JPG,75,27607
IMG_1911.JPG,80,25135
IMG_1912.JPG,30,230435
IMG_1912.JPG,35,115972
IMG_1912.JPG,40,74058
IMG_1912.JPG,45,55960
IMG_1912.JPG,50,46000
IMG_1912.JPG,55,39080
IMG_1912.JPG,60,33646
IMG_1912.JPG,65,28963
IMG_1912.JPG,70,25117
IMG_1912.JPG,75,21622
IMG_1912.JPG,80,18534
IMG_1913.JPG,30,165775
IMG_1913.JPG,35,94414
IMG_1913.JPG,40,56259
IMG_1913.JPG,45,36076
IMG_1913.JPG,50,25753
IMG_1913.JPG,55,19998
IMG_1913.JPG,60,16428
IMG_1913.JPG,65,14071
IMG_1913.JPG,70,12290
IMG_1913.JPG,75,10878
IMG_1913.JPG,80,9705
IMG_1914.JPG,30,240072
IMG_1914.JPG,35,139237
IMG_1914.JPG,40,103227
IMG_1914.JPG,45,82876
IMG_1914.JPG,50,67890
IMG_1914.JPG,55,55495
IMG_1914.JPG,60,44576
IMG_1914.JPG,65,34725
IMG_1914.JPG,70,25992
IMG_1914.JPG,75,19029
IMG_1914.JPG,80,13541
IMG_1916.JPG,30,57091
IMG_1916.JPG,35,23193
IMG_1916.JPG,40,12695
IMG_1916.JPG,45,8908
IMG_1916.JPG,50,6983
IMG_1916.JPG,55,5751
IMG_1916.JPG,60,4808
IMG_1916.JPG,65,3999
IMG_1916.JPG,70,3308
IMG_1916.JPG,75,2707
IMG_1916.JPG,80,2181
IMG_1917.JPG,30,68677
IMG_1917.JPG,35,37468
IMG_1917.JPG,40,25902
IMG_1917.JPG,45,19550
IMG_1917.JPG,50,15361
IMG_1917.JPG,55,12094
IMG_1917.JPG,60,9385
IMG_1917.JPG,65,7086
IMG_1917.JPG,70,5211
IMG_1917.JPG,75,3722
IMG_1917.JPG,80,2576
IMG_1918.JPG,30,141943
IMG_1918.JPG,35,60616
IMG_1918.JPG,40,31545
IMG_1918.JPG,45,19568
IMG_1918.JPG,50,13916
IMG_1918.JPG,55,10873
IMG_1918.JPG,60,8972
