camera_id,handcounted,handcount,test_case,visually_recheck,setDate,flipDate,days,id,fID,repl,treat,NstartF,NstartM,box,ccoord,rcoord,deadF,deadM,cens,carriedF,carriedM,X__1,X__2
IMG_1918.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S45D134_a_HS,S45D134_a,a,HS,14,6,2,5,3,0,0,0,0,0,NA,NA
IMG_1919.JPG,NA,NA,NA,NA,2016-02-29,2016-03-08,8,S23D69_a_HS,S23D69_a,a,HS,19,6,2,2,9,0,0,0,0,0,NA,NA
IMG_1920.JPG,NA,NA,NA,NA,2016-02-29,2016-03-08,8,S9D27_a_HS,S9D27_a,a,HS,20,6,2,8,9,1,0,0,0,0,NA,NA
IMG_1922.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S3D7_a_STD,S3D7_a,a,STD,15,6,3,5,4,0,0,0,0,0,NA,NA
IMG_1924.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S11D32_b_STD,S11D32_b,b,STD,16,6,2,10,8,0,0,0,0,0,NA,NA
IMG_1925.JPG,NA,NA,NA,NA,2016-02-29,2016-03-08,8,S33D99_a_STD,S33D99_a,a,STD,21,6,3,5,9,0,0,0,0,0,NA,NA
IMG_1927.JPG,NA,NA,NA,NA,2016-02-29,2016-03-08,8,S11D32_a_STD,S11D32_a,a,STD,24,6,2,4,9,0,0,0,0,0,NA,NA
IMG_1928.JPG,NA,NA,NA,NA,2016-03-02,2016-03-08,6,S25D75_a_STD,S25D75_a,a,STD,18,6,1,9,2,0,0,0,0,0,NA,NA
IMG_1931.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S25D73_a_STD,S25D73_a,a,STD,24,6,4,5,7,0,0,0,0,0,NA,NA
IMG_1932.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S33D97_a_STD,S33D97_a,a,STD,24,6,2,7,6,0,0,0,0,0,NA,NA
IMG_1933.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S47D140_a_STD,S47D140_a,a,STD,15,6,1,3,10,0,0,0,0,0,mislabeled as S74D140a,NA
IMG_1934.JPG,NA,NA,NA,NA,2016-03-04,2016-03-08,4,S35D103_a_STD,S35D103_a,a,STD,18,6,2,7,8,0,0,0,0,0,NA,NA
IMG_1935.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S41D121_a_STD,S41D121_a,a,STD,20,6,1,3,7,0,0,0,0,0,NA,NA
IMG_1938.JPG,NA,NA,NA,NA,2016-02-26,2016-03-08,11,S29D85_a_STD,S29D85_a,a,STD,24,6,4,2,10,0,0,0,0,0,mislabled as S26D85,NA
IMG_1939.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S5D15_a_STD,S5D15_a,a,STD,21,6,1,3,1,0,0,0,0,0,NA,NA
IMG_1940.JPG,NA,NA,NA,NA,2016-03-02,2016-03-08,6,S17D49_a_STD,S17D49_a,a,STD,20,6,4,5,6,0,0,0,0,0,NA,NA
IMG_1941.JPG,NA,NA,NA,NA,2016-02-29,2016-03-08,8,S17D50_a_STD,S17D50_a,a,STD,24,6,1,6,2,1,0,0,0,0,NA,NA
IMG_1942.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S1D2_a_STD,S1D2_a,a,STD,20,6,2,1,7,0,0,0,0,0,NA,NA
IMG_1944.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S27D81_a_STD,S27D81_a,a,STD,17,6,3,2,5,0,0,0,0,0,NA,NA
IMG_1945.JPG,NA,NA,NA,NA,2016-03-02,2016-03-08,6,S37D109_a_STD,S37D109_a,a,STD,24,6,5,4,6,0,0,0,0,0,NA,NA
IMG_1946.JPG,NA,NA,NA,NA,2016-02-29,2016-03-08,8,S19D55_a_STD,S19D55_a,a,STD,20,6,3,8,3,0,0,0,0,0,NA,NA
IMG_1947.JPG,NA,NA,NA,NA,2016-02-29,2016-03-08,8,S23D68_a_STD,S23D68_a,a,STD,24,6,3,8,7,0,0,0,0,0,NA,NA
IMG_1948.JPG,NA,NA,NA,NA,2016-03-02,2016-03-08,6,S21D63_b_STD,S21D63_b,b,STD,18,6,1,6,8,0,0,0,0,0,b repl on image,NA
IMG_1949.JPG,NA,NA,NA,NA,2016-02-26,2016-03-08,11,S9D25_a_STD,S9D25_a,a,STD,24,6,2,4,10,0,0,0,0,0,NA,NA
IMG_1952.JPG,NA,NA,NA,NA,2016-02-29,2016-03-08,8,S9D27_a_LY,S9D27_a,a,LY,24,6,2,3,10,0,0,0,0,0,NA,NA
IMG_1953.JPG,NA,NA,NA,NA,2016-03-02,2016-03-08,6,S25D73_a_LY,S25D73_a,a,LY,19,6,3,4,9,0,0,0,0,0,NA,NA
IMG_1954.JPG,NA,NA,NA,NA,2016-03-02,2016-03-08,6,S33D97_a_LY,S33D97_a,a,LY,14,6,2,6,2,0,0,0,0,0,NA,NA
IMG_1956.JPG,NA,NA,NA,NA,2016-02-29,2016-03-08,8,S7D21_a_LY,S7D21_a,a,LY,24,6,3,10,3,0,0,0,0,0,NA,NA
IMG_1957.JPG,NA,NA,NA,NA,2016-02-29,2016-03-08,8,S19D55_a_LY,S19D55_a,a,LY,24,6,2,3,2,0,0,0,0,0,NA,NA
IMG_1960.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S5D14_a_LY,S5D14_a,a,LY,13,6,3,10,7,0,0,0,0,0,NA,NA
IMG_1961.JPG,NA,NA,NA,NA,2016-03-02,2016-03-08,6,S1D1_a_LY,S1D1_a,a,LY,17,6,1,8,10,0,0,0,0,0,NA,NA
IMG_1962.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S19D56_a_LY,S19D56_a,a,LY,17,6,1,8,8,0,0,0,0,0,NA,NA
IMG_1963.JPG,NA,NA,NA,NA,2016-02-26,2016-03-08,11,S7D19_a_LY,S7D19_a,a,LY,21,6,1,5,2,0,0,0,0,0,repl a,NA
IMG_1964.JPG,NA,NA,NA,NA,2016-02-29,2016-03-08,8,S47D139_a_LY,S47D139_a,a,LY,24,6,4,4,10,0,0,0,0,0,NA,NA
IMG_1965.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S49D145_a_LY,S49D145_a,a,LY,23,6,1,2,5,0,0,0,0,0,NA,NA
IMG_1966.JPG,NA,NA,NA,NA,2016-02-26,2016-03-08,11,S3D7_a_LY,S3D7_a,a,LY,24,6,1,5,9,0,0,0,0,0,NA,NA
IMG_1967.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S31D91_a_LY,S31D91_a,a,LY,18,6,5,3,4,0,0,0,0,0,NA,NA
IMG_1968.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S33D98_a_LY,S33D98_a,a,LY,19,6,5,3,7,0,0,0,0,0,NA,NA
IMG_1969.JPG,yes,577,NA,NA,2016-03-02,2016-03-08,6,S5D15_a_LY,S5D15_a,a,LY,17,6,2,9,3,0,0,0,0,0,bad writing (repl),NA
IMG_1970.JPG,NA,NA,NA,NA,2016-03-02,2016-03-08,6,S27D81_a_LY,S27D81_a,a,LY,19,6,5,3,9,0,0,0,0,0,NA,NA
IMG_1972.JPG,NA,NA,NA,NA,2016-02-29,2016-03-08,8,S41D123_a_LY,S41D123_a,a,LY,24,6,4,7,1,0,0,0,0,0,image wth no repl id,NA
IMG_1973.JPG,NA,NA,NA,NA,2016-03-02,2016-03-08,6,S3D9_a_LY,S3D9_a,a,LY,20,6,1,5,5,0,0,0,0,0,NA,NA
IMG_1974.JPG,NA,NA,NA,NA,2016-03-02,2016-03-08,6,S1D3_a_LY,S1D3_a,a,LY,24,6,2,3,8,0,0,0,0,0,NA,NA
IMG_1976.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S37D109_a_LY,S37D109_a,a,LY,17,6,3,7,10,0,0,0,0,0,NA,NA
IMG_1977.JPG,NA,NA,NA,NA,2016-02-29,2016-03-08,8,S13D37_a_LY,S13D37_a,a,LY,21,6,4,1,3,0,0,0,0,0,NA,NA
IMG_1978.JPG,NA,NA,NA,NA,2016-03-05,2016-03-08,3,S23D69_a_LY,S23D69_a,a,LY,15,6,4,1,9,0,0,0,0,0,NA,NA
IMG_1980.JPG,yes,782,yes,NA,2016-02-29,2016-03-08,8,S13D38_a_LY,S13D38_a,a,LY,24,6,2,9,4,0,0,0,0,0,NA,NA
IMG_1981.JPG,yes,636,yes,NA,2016-03-05,2016-03-08,3,S7D19_b_LY,S7D19_b,b,LY,17,6,3,4,5,0,0,0,0,0,"repl a, assume b",NA
IMG_1982.JPG,yes,371,yes,NA,2016-03-05,2016-03-08,3,S9D26_a_LY,S9D26_a,a,LY,15,6,1,8,3,0,0,0,0,0,image wth no repl id,NA
IMG_1983.JPG,yes,781,yes,NA,2016-03-05,2016-03-15,10,S3D9_a_HS,S3D9_a,a,HS,18,6,4,9,10,0,0,0,0,0,NA,NA
IMG_1985.JPG,yes,826,NA,NA,2016-03-11,2016-03-15,4,S61D183_b_HS,S61D183_b,b,HS,19,6,6,9,2,0,0,0,0,0,NA,NA
IMG_1986.JPG,yes,681,NA,NA,2016-03-11,2016-03-15,4,S53D158_a_HS,S53D158_a,a,HS,19,6,6,6,3,0,0,0,0,0,NA,NA
IMG_1987.JPG,yes,996,yes,NA,2016-03-08,2016-03-15,7,S57D171_b_HS,S57D171_b,b,HS,23,6,6,9,10,0,0,0,0,0,NA,NA
IMG_1988.JPG,yes,1195,yes,NA,2016-03-11,2016-03-15,4,S61D181_a_HS,S61D181_a,a,HS,21,6,6,3,1,0,0,0,0,0,labeled s61d183 a,NA
IMG_1989.JPG,NA,NA,NA,NA,2016-03-11,2016-03-15,4,S7D19_a_HS,S7D19_a,a,HS,22,6,4,9,9,0,0,0,0,0,NA,NA
IMG_1990.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S59D177_a_HS,S59D177_a,a,HS,21,6,6,9,5,0,0,0,0,0,NA,NA
IMG_1991.JPG,NA,NA,NA,NA,2016-02-26,2016-03-15,18,S19D55_a_HS,S19D55_a,a,HS,24,6,5,5,2,1,0,0,0,0,NA,NA
IMG_1992.JPG,NA,NA,NA,NA,2016-02-29,2016-03-15,15,S13D39_a_HS,S13D39_a,a,HS,24,6,5,5,6,1,0,1,0,0,NA,NA
IMG_1993.JPG,yes,897,yes,NA,2016-02-29,2016-03-15,15,S27D80_a_HS,S27D80_a,a,HS,24,6,5,2,7,0,0,0,0,0,NA,NA
IMG_1994.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S3D7_a_HS,S3D7_a,a,HS,21,6,5,5,1,0,1,0,0,0,NA,NA
IMG_1996.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S61D182_a_HS,S61D182_a,a,HS,17,6,6,6,1,0,0,0,0,0,NA,NA
IMG_1997.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S55D163_a_HS,S55D163_a,a,HS,16,6,6,3,7,0,0,0,0,0,NA,NA
IMG_1998.JPG,yes,696,NA,NA,2016-02-29,2016-03-15,15,S49D147_a_HS,S49D147_a,a,HS,24,6,5,2,3,0,0,0,0,0,NA,NA
IMG_1999.JPG,NA,NA,NA,NA,2016-03-05,2016-03-15,10,S11D33_a_HS,S11D33_a,a,HS,23,6,5,5,10,0,0,0,0,0,NA,NA
IMG_2000.JPG,yes,971,NA,NA,2016-03-11,2016-03-15,4,S21D63_a_HS,S21D63_a,a,HS,18,6,5,5,7,0,0,0,0,0,NA,NA
IMG_2001.JPG,NA,NA,NA,NA,2016-02-29,2016-03-15,15,S23D69_a_HS,S23D69_a,a,HS,19,6,2,2,9,0,0,0,0,0,NA,NA
IMG_2002.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S55D164_a_HS,S55D164_a,a,HS,18,6,6,6,7,0,0,0,0,0,NA,NA
IMG_2003.JPG,yes,673,yes,NA,2016-02-26,2016-03-15,18,S17D49_a_HS,S17D49_a,a,HS,24,6,2,2,1,0,0,0,0,0,NA,NA
IMG_2004.JPG,yes,690,NA,NA,2016-03-08,2016-03-15,7,S27D81_a_HS,S27D81_a,a,HS,23,6,1,4,2,0,0,0,0,0,NA,NA
IMG_2005.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S59D176_a_HS,S59D176_a,a,HS,17,6,6,6,5,0,0,0,0,0,NA,NA
IMG_2006.JPG,NA,NA,NA,NA,2016-03-11,2016-03-15,4,S41D121_b_HS,S41D121_b,b,HS,15,6,1,4,10,0,0,0,0,0,labeled s40d121b,NA
IMG_2007.JPG,yes,724,NA,NA,2016-03-11,2016-03-15,4,S57D170_a_HS,S57D170_a,a,HS,18,6,6,6,9,0,0,0,0,0,NA,NA
IMG_2008.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S49D145_a_HS,S49D145_a,a,HS,21,6,5,2,2,0,0,0,0,0,labeled s48d145a,NA
IMG_2009.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S1D2_a_HS,S1D2_a,a,HS,17,6,2,2,7,0,0,0,0,0,NA,NA
IMG_2010.JPG,yes,899,NA,NA,2016-03-11,2016-03-15,4,S29D85_a_HS,S29D85_a,a,HS,22,6,1,4,1,0,0,0,0,0,NA,NA
IMG_2011.JPG,yes,617,NA,NA,2016-03-11,2016-03-15,4,S1D3_b_HS,S1D3_b,b,HS,16,6,2,8,3,0,0,0,0,0,NA,NA
IMG_2012.JPG,yes,455,NA,NA,2016-03-02,2016-03-15,13,S5D13_b_HS,S5D13_b,b,HS,19,6,2,2,10,0,0,0,0,0,NA,NA
IMG_2013.JPG,NA,NA,NA,NA,2016-03-05,2016-03-15,10,S23D68_a_HS,S23D68_a,a,HS,22,6,1,1,10,1,0,0,0,0,NA,NA
IMG_2014.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S5D15_a_HS,S5D15_a,a,HS,24,6,2,2,4,0,0,0,0,0,NA,NA
IMG_2015.JPG,NA,NA,NA,NA,2016-03-02,2016-03-15,13,S19D55_b_HS,S19D55_b,b,HS,17,6,1,1,5,0,0,0,0,0,NA,NA
IMG_2016.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S25D75_a_HS,S25D75_a,a,HS,15,6,1,7,8,0,0,0,0,0,NA,NA
IMG_2017.JPG,yes,633,yes,NA,2016-03-08,2016-03-15,7,S17D51_a_HS,S17D51_a,a,HS,18,6,1,10,4,0,0,0,0,0,no rep id,NA
IMG_2018.JPG,yes,309,NA,NA,2016-03-02,2016-03-15,NA,s19d56_HS,s19d56,a,HS,14,6,NA,NA,NA,0,0,0,0,0,NA,NA
IMG_2019.JPG,NA,NA,NA,NA,2016-03-11,2016-03-15,4,S13D37_a_HS,S13D37_a,a,HS,24,6,1,7,10,1,0,0,0,0,NA,NA
IMG_2020.JPG,yes,722,NA,NA,2016-03-11,2016-03-15,4,S3D9_b_HS,S3D9_b,b,HS,17,6,1,7,6,0,0,0,0,0,NA,NA
IMG_2021.JPG,NA,NA,NA,NA,2016-03-05,2016-03-15,10,S1D1_a_HS,S1D1_a,a,HS,15,6,1,10,7,0,0,0,0,0,NA,NA
IMG_2022.JPG,NA,NA,NA,NA,2016-02-26,2016-03-15,18,S5D13_a_HS,S5D13_a,a,HS,24,6,1,10,1,0,2,0,0,0,NA,NA
IMG_2024.JPG,NA,NA,NA,NA,2016-03-05,2016-03-15,10,S47D139_a_HS,S47D139_a,a,HS,17,6,2,5,6,0,0,0,0,0,NA,NA
IMG_2025.JPG,yes,441,yes,NA,2016-03-02,2016-03-15,13,S41D121_a_HS,S41D121_a,a,HS,21,6,4,3,3,0,0,0,0,0,no rep id,NA
IMG_2026.JPG,NA,NA,NA,NA,2016-03-05,2016-03-15,10,S31D92_a_HS,S31D92_a,a,HS,20,6,3,6,5,1,0,0,0,0,NA,NA
IMG_2027.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S41D123_a_HS,S41D123_a,a,HS,14,6,4,6,8,1,0,0,0,0,label issue,NA
IMG_2029.JPG,NA,NA,NA,NA,2016-03-11,2016-03-15,4,S49D146_b_HS,S49D146_b,b,HS,16,6,3,6,4,0,1,0,0,0,NA,NA
IMG_2031.JPG,NA,NA,NA,NA,2016-02-29,2016-03-15,15,S45D135_a_HS,S45D135_a,a,HS,24,6,3,3,4,0,0,0,0,0,NA,NA
IMG_2032.JPG,NA,NA,NA,NA,2016-03-05,2016-03-15,10,S27D80_b_HS,S27D80_b,b,HS,19,6,3,9,7,0,0,0,0,0,NA,NA
IMG_2033.JPG,NA,NA,NA,NA,2016-03-05,2016-03-15,10,S59D175_a_HS,S59D175_a,a,HS,20,6,6,3,5,0,0,0,0,0,NA,NA
IMG_2034.JPG,NA,NA,NA,NA,2016-02-29,2016-03-15,15,S29D87_a_HS,S29D87_a,a,HS,24,6,2,5,4,0,0,0,0,0,NA,NA
IMG_2035.JPG,NA,NA,NA,NA,2016-03-05,2016-03-15,10,S37D109_a_HS,S37D109_a,a,HS,17,6,3,9,4,0,0,0,0,0,labeled s37d107a,NA
IMG_2036.JPG,yes,551,NA,NA,NA,NA,NA,NA_NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMG_2037.JPG,NA,NA,NA,NA,2016-03-05,2016-03-15,10,S33D99_a_HS,S33D99_a,a,HS,16,6,4,6,9,0,0,0,0,0,NA,NA
IMG_2038.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S35D103_b_HS,S35D103_b,b,HS,16,6,2,5,10,0,0,0,0,0,NA,NA
IMG_2039.JPG,NA,NA,NA,NA,2016-03-11,2016-03-15,4,S27D81_b_HS,S27D81_b,b,HS,21,6,3,6,9,0,0,0,0,0,NA,NA
IMG_2043.JPG,yes,780,NA,NA,2016-03-05,2016-03-15,10,S1D3_a_HS,S1D3_a,a,HS,21,6,2,2,6,0,0,0,0,0,NA,NA
IMG_2044.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S11D31_a_HS,S11D31_a,a,HS,19,6,2,8,2,0,0,0,0,0,NA,NA
IMG_2045.JPG,NA,NA,NA,NA,2016-02-29,2016-03-15,15,S9D27_a_HS,S9D27_a,a,HS,20,6,2,8,9,0,0,0,0,0,NA,NA
IMG_2047.JPG,yes,442,NA,NA,2016-03-08,2016-03-15,7,S1D1_b_HS,S1D1_b,b,HS,24,6,4,9,7,0,0,0,0,0,NA,NA
IMG_2046.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S33D98_a_HS,S33D98_a,a,HS,19,6,3,9,9,0,0,0,0,0,NA,NA
IMG_2048.JPG,NA,NA,NA,NA,2016-03-08,2016-03-15,7,S45D133_a_HS,S45D133_a,a,HS,24,6,3,9,3,0,0,0,0,0,NA,NA
IMG_2049.JPG,yes,1354,NA,NA,2016-03-05,2016-03-15,10,S45D134_a_HS,S45D134_a,a,HS,14,6,2,5,3,0,0,0,0,0,label issue,NA
IMG_2050.JPG,yes,810,NA,NA,2016-03-05,2016-03-15,10,S17D50_a_HS,S17D50_a,a,HS,16,6,3,3,9,0,0,1,0,0,NA,NA
IMG_2051.JPG,yes,793,NA,NA,2016-02-29,2016-03-15,15,S21D61_a_HS,S21D61_a,a,HS,24,6,4,9,8,0,0,0,0,0,NA,NA
IMG_2052.JPG,yes,917,NA,NA,2016-03-11,2016-03-15,4,S37D110_b_HS,S37D110_b,b,HS,24,6,3,6,10,0,0,0,0,0,NA,NA
IMG_2053.JPG,NA,NA,NA,NA,2016-03-02,2016-03-15,13,S31D91_a_HS,S31D91_a,a,HS,24,6,4,6,4,0,0,0,0,0,NA,NA
IMG_2054.JPG,NA,NA,NA,NA,2016-02-29,2016-03-15,15,S35D103_a_HS,S35D103_a,a,HS,24,6,4,3,10,0,0,0,0,0,NA,NA
IMG_2055.JPG,yes,661,NA,NA,2016-03-02,2016-03-15,13,S27D79_a_HS,S27D79_a,a,HS,18,6,4,6,2,0,0,0,0,0,NA,NA
IMG_2056.JPG,yes,749,NA,NA,2016-03-05,2016-03-15,10,S49D146_a_HS,S49D146_a,a,HS,17,6,3,6,8,0,0,0,0,0,NA,NA
IMG_2057.JPG,yes,825,NA,NA,2016-03-11,2016-03-15,4,S31D93_a_HS,S31D93_a,a,HS,18,6,3,6,7,0,0,0,0,0,NA,NA
IMG_2058.JPG,NA,NA,NA,NA,2016-03-11,2016-03-15,4,S33D99_a_LY,S33D99_a,a,LY,24,6,5,3,3,0,0,0,0,0,NA,NA
IMG_2059.JPG,NA,NA,NA,NA,2016-03-02,2016-03-15,13,S3D9_a_LY,S3D9_a,a,LY,20,6,1,5,5,0,0,0,0,0,NA,NA
IMG_2060.JPG,NA,NA,NA,NA,2016-02-26,2016-03-15,18,S7D19_a_LY,S7D19_a,a,LY,21,6,1,5,2,1,0,0,0,0,NA,NA
IMG_2061.JPG,NA,NA,NA,NA,2016-02-29,2016-03-15,15,S19D55_a_LY,S19D55_a,a,LY,24,6,2,3,2,0,0,0,0,0,NA,NA
IMG_2062.JPG,NA,NA,NA,NA,2016-03-11,2016-03-15,4,S5D15_b_LY,S5D15_b,b,LY,24,6,2,3,4,0,0,0,0,0,NA,NA
IMG_2063.JPG,NA,NA,NA,NA,2016-03-11,2016-03-15,4,S35D103_a_LY,S35D103_a,a,LY,23,6,3,4,7,0,0,0,0,0,NA,NA
IMG_2064.JPG,NA,NA,NA,NA,2016-03-05,2016-03-15,10,S7D19_b_LY,S7D19_b,b,LY,17,6,3,4,5,0,0,0,0,0,labeled s7d19 a again,NA
