prop_data,prop_train,lower,r,rMSD
1,0.8,50,0.880516458830418,181.45597700566464
1,0.8,51,0.8814174676459856,180.83138807170636
1,0.8,52,0.8819759861217902,180.41035422656748
1,0.8,53,0.8820385138167968,180.37111965938203
1,0.8,54,0.881884559062217,180.49541377483294
1,0.8,55,0.8814163914515151,180.8423588171872
1,0.8,56,0.8805652448506706,181.42605711712886
1,0.8,57,0.8796472500382402,182.08256242138293
1,0.8,58,0.8783451596337426,183.01794176602442
1,0.8,59,0.8769037743566561,184.03680926632157
1,0.8,60,0.8753310145688991,185.13964526979095
1,0.9,50,0.881572620612007,179.76567529684985
1,0.9,51,0.8824392442145264,179.16343146060095
1,0.9,52,0.8829488864682798,178.78751232425495
1,0.9,53,0.8830638824409863,178.7187685195756
1,0.9,54,0.8830029319543758,178.79549190498142
1,0.9,55,0.8825233640928885,179.12994112830742
1,0.9,56,0.8817193742756599,179.70981405401005
1,0.9,57,0.8807909675047562,180.41094731388003
1,0.9,58,0.8796938382792675,181.18047221496315
1,0.9,59,0.8781882260180155,182.25482647225377
1,0.9,60,0.8765543491923837,183.42223737060652
