"id"	"egg_total"	"repl"	"treat"	"sireid"	"damid"
"S21D63_a_HS"	230.024642194761	"a"	"HS"	"S21"	"D63"
"S21D63_a_LY"	257.15771253103	"a"	"LY"	"S21"	"D63"
"S21D63_a_STD"	246.659882962973	"a"	"STD"	"S21"	"D63"
"S21D63_b_STD"	381.827263921896	"b"	"STD"	"S21"	"D63"
"S23D67_a_LY"	369.055125328558	"a"	"LY"	"S23"	"D67"
"S23D67_a_STD"	309.182677706735	"a"	"STD"	"S23"	"D67"
"S23D67_b_HS"	169.949790483295	"b"	"HS"	"S23"	"D67"
"S23D67_b_STD"	224.387465291279	"b"	"STD"	"S23"	"D67"
"S23D68_a_HS"	195.951177436891	"a"	"HS"	"S23"	"D68"
"S23D68_a_LY"	280.624669567099	"a"	"LY"	"S23"	"D68"
"S23D68_a_STD"	295.435466252532	"a"	"STD"	"S23"	"D68"
"S23D68_b_HS"	152.578800438353	"b"	"HS"	"S23"	"D68"
"S23D68_b_LY"	246.063208344537	"b"	"LY"	"S23"	"D68"
"S23D68_b_STD"	210.322313053974	"b"	"STD"	"S23"	"D68"
"S23D69_a_HS"	203.331157798067	"a"	"HS"	"S23"	"D69"
"S23D69_a_LY"	310.045719685448	"a"	"LY"	"S23"	"D69"
"S23D69_a_STD"	286.054497751019	"a"	"STD"	"S23"	"D69"
"S23D69_b_HS"	216.707630677629	"b"	"HS"	"S23"	"D69"
"S23D69_b_LY"	332.972344587512	"b"	"LY"	"S23"	"D69"
"S23D69_b_STD"	257.430214510136	"b"	"STD"	"S23"	"D69"
"S25D73_a_HS"	133.137879518412	"a"	"HS"	"S25"	"D73"
"S25D73_a_LY"	342.672351253417	"a"	"LY"	"S25"	"D73"
"S25D73_a_STD"	328.08456056126	"a"	"STD"	"S25"	"D73"
"S25D73_b_STD"	351.397268317812	"b"	"STD"	"S25"	"D73"
"S25D75_a_HS"	231.423691358612	"a"	"HS"	"S25"	"D75"
"S25D75_a_LY"	358.752788424791	"a"	"LY"	"S25"	"D75"
"S25D75_a_STD"	325.405228026167	"a"	"STD"	"S25"	"D75"
"S25D75_b_HS"	159.726041657975	"b"	"HS"	"S25"	"D75"
"S25D75_b_LY"	250.646656534844	"b"	"LY"	"S25"	"D75"
"S27D79_a_HS"	228.55770108223	"a"	"HS"	"S27"	"D79"
"S27D79_a_LY"	397.546635756955	"a"	"LY"	"S27"	"D79"
"S27D79_a_STD"	223.979029367944	"a"	"STD"	"S27"	"D79"
"S27D79_b_HS"	162.071575861937	"b"	"HS"	"S27"	"D79"
"S27D79_b_LY"	325.199901073252	"b"	"LY"	"S27"	"D79"
"S27D79_b_STD"	253.232043566255	"b"	"STD"	"S27"	"D79"
"S27D80_a_HS"	137.645396618339	"a"	"HS"	"S27"	"D80"
"S27D80_a_LY"	317.324672794772	"a"	"LY"	"S27"	"D80"
"S27D80_a_STD"	345.234481017394	"a"	"STD"	"S27"	"D80"
"S27D80_b_HS"	158.844987187938	"b"	"HS"	"S27"	"D80"
"S27D80_b_LY"	235.823932024239	"b"	"LY"	"S27"	"D80"
"S27D80_b_STD"	295.986598285384	"b"	"STD"	"S27"	"D80"
"S27D81_a_HS"	131.829962422395	"a"	"HS"	"S27"	"D81"
"S27D81_a_LY"	309.28159879953	"a"	"LY"	"S27"	"D81"
"S27D81_a_STD"	332.909085265512	"a"	"STD"	"S27"	"D81"
"S27D81_b_HS"	89.0094438048653	"b"	"HS"	"S27"	"D81"
"S27D81_b_LY"	280.525780583778	"b"	"LY"	"S27"	"D81"
"S27D81_b_STD"	295.426931052901	"b"	"STD"	"S27"	"D81"
"S29D85_a_HS"	172.978634886366	"a"	"HS"	"S29"	"D85"
"S29D85_a_LY"	202.363010622485	"a"	"LY"	"S29"	"D85"
"S29D85_a_STD"	262.713167654174	"a"	"STD"	"S29"	"D85"
"S29D85_b_HS"	121.796575955196	"b"	"HS"	"S29"	"D85"
"S29D85_b_LY"	299.919101977552	"b"	"LY"	"S29"	"D85"
"S29D85_b_STD"	234.17130666538	"b"	"STD"	"S29"	"D85"
"S29D86_a_LY"	297.551767914606	"a"	"LY"	"S29"	"D86"
"S29D86_a_STD"	378.812930351351	"a"	"STD"	"S29"	"D86"
"S29D87_a_HS"	195.610973550294	"a"	"HS"	"S29"	"D87"
"S31D91_a_HS"	179.343535323587	"a"	"HS"	"S31"	"D91"
"S31D91_a_LY"	344.649486394692	"a"	"LY"	"S31"	"D91"
"S31D91_a_STD"	334.700051958263	"a"	"STD"	"S31"	"D91"
"S31D91_b_HS"	142.975460002303	"b"	"HS"	"S31"	"D91"
"S31D91_b_LY"	294.707119395642	"b"	"LY"	"S31"	"D91"
"S31D91_b_STD"	302.760135731844	"b"	"STD"	"S31"	"D91"
"S31D92_a_HS"	182.324231127589	"a"	"HS"	"S31"	"D92"
"S31D92_a_LY"	339.265264799913	"a"	"LY"	"S31"	"D92"
"S31D92_a_STD"	391.116321299608	"a"	"STD"	"S31"	"D92"
"S31D92_b_HS"	168.160032190447	"b"	"HS"	"S31"	"D92"
"S31D92_b_LY"	390.764420188977	"b"	"LY"	"S31"	"D92"
"S31D92_b_STD"	331.122977953713	"b"	"STD"	"S31"	"D92"
"S31D93_a_HS"	194.41187043698	"a"	"HS"	"S31"	"D93"
"S31D93_a_LY"	332.535363063302	"a"	"LY"	"S31"	"D93"
"S31D93_a_STD"	318.429766197879	"a"	"STD"	"S31"	"D93"
"S31D93_b_HS"	255.561970319629	"b"	"HS"	"S31"	"D93"
"S31D93_b_LY"	352.036684593083	"b"	"LY"	"S31"	"D93"
"S31D93_b_STD"	343.977497802909	"b"	"STD"	"S31"	"D93"
"S33D97_a_HS"	166.631080010946	"a"	"HS"	"S33"	"D97"
"S33D97_a_LY"	376.431469432001	"a"	"LY"	"S33"	"D97"
"S33D97_a_STD"	271.126005142337	"a"	"STD"	"S33"	"D97"
"S33D97_b_LY"	274.245801552388	"b"	"LY"	"S33"	"D97"
"S33D97_b_STD"	281.942585681544	"b"	"STD"	"S33"	"D97"
"S33D98_a_HS"	232.461162001072	"a"	"HS"	"S33"	"D98"
"S33D98_a_LY"	313.007654938114	"a"	"LY"	"S33"	"D98"
"S33D98_a_STD"	329.80429329559	"a"	"STD"	"S33"	"D98"
"S33D98_b_HS"	146.813538672232	"b"	"HS"	"S33"	"D98"
"S33D98_b_LY"	261.517329756466	"b"	"LY"	"S33"	"D98"
"S33D98_b_STD"	279.16566682542	"b"	"STD"	"S33"	"D98"
"S33D99_a_HS"	265.876002715447	"a"	"HS"	"S33"	"D99"
"S33D99_a_LY"	307.773279735345	"a"	"LY"	"S33"	"D99"
"S33D99_a_STD"	264.54068652839	"a"	"STD"	"S33"	"D99"
"S33D99_b_HS"	234.414908341898	"b"	"HS"	"S33"	"D99"
"S33D99_b_LY"	245.681637783939	"b"	"LY"	"S33"	"D99"
"S33D99_b_STD"	244.696298531772	"b"	"STD"	"S33"	"D99"
"S35D103_a_HS"	138.041490343104	"a"	"HS"	"S35"	"D103"
"S35D103_a_LY"	303.068484690506	"a"	"LY"	"S35"	"D103"
"S35D103_a_STD"	369.220651819122	"a"	"STD"	"S35"	"D103"
"S35D103_b_HS"	221.557817030542	"b"	"HS"	"S35"	"D103"
"S35D103_b_LY"	323.614550036776	"b"	"LY"	"S35"	"D103"
"S35D104_a_STD"	321.789235996231	"a"	"STD"	"S35"	"D104"
"S37D109_a_HS"	272.972462448579	"a"	"HS"	"S37"	"D109"
"S37D109_a_LY"	417.324453304286	"a"	"LY"	"S37"	"D109"
"S37D109_a_STD"	316.500083479011	"a"	"STD"	"S37"	"D109"
"S37D109_b_HS"	177.949152993173	"b"	"HS"	"S37"	"D109"
"S37D109_b_LY"	230.565788441953	"b"	"LY"	"S37"	"D109"
"S37D109_b_STD"	357.888284718667	"b"	"STD"	"S37"	"D109"
"S37D110_a_LY"	263.891210394182	"a"	"LY"	"S37"	"D110"
"S37D110_a_STD"	283.179737134314	"a"	"STD"	"S37"	"D110"
"S37D110_b_HS"	88.309837347114	"b"	"HS"	"S37"	"D110"
"S37D111_a_HS"	229.174737412472	"a"	"HS"	"S37"	"D111"
"S37D111_a_LY"	303.726136447766	"a"	"LY"	"S37"	"D111"
"S3D7_a_HS"	237.039241454578	"a"	"HS"	"S3"	"D7"
"S3D7_a_LY"	303.840469262062	"a"	"LY"	"S3"	"D7"
"S3D7_a_STD"	414.217074955333	"a"	"STD"	"S3"	"D7"
"S3D7_b_LY"	376.846051471317	"b"	"LY"	"S3"	"D7"
"S3D7_b_STD"	296.929677212665	"b"	"STD"	"S3"	"D7"
"S3D8_a_STD"	277.190161671251	"a"	"STD"	"S3"	"D8"
"S3D9_a_HS"	246.851607314461	"a"	"HS"	"S3"	"D9"
"S3D9_a_LY"	402.10432222844	"a"	"LY"	"S3"	"D9"
"S3D9_a_STD"	295.146153123417	"a"	"STD"	"S3"	"D9"
"S3D9_b_HS"	263.342674033175	"b"	"HS"	"S3"	"D9"
"S3D9_b_LY"	377.625704026401	"b"	"LY"	"S3"	"D9"
"S3D9_b_STD"	278.57403364587	"b"	"STD"	"S3"	"D9"
"S41D121_a_HS"	175.90315229011	"a"	"HS"	"S41"	"D121"
"S41D121_a_LY"	290.598118994426	"a"	"LY"	"S41"	"D121"
"S41D121_a_STD"	467.990805325713	"a"	"STD"	"S41"	"D121"
"S41D121_b_HS"	267.055513156407	"b"	"HS"	"S41"	"D121"
"S41D121_b_LY"	294.999653199583	"b"	"LY"	"S41"	"D121"
"S41D121_b_STD"	320.359440241142	"b"	"STD"	"S41"	"D121"
"S41D122_a_HS"	139.147092145236	"a"	"HS"	"S41"	"D122"
"S41D122_a_LY"	250.721270716886	"a"	"LY"	"S41"	"D122"
"S41D122_a_STD"	367.82629207429	"a"	"STD"	"S41"	"D122"
"S41D122_b_HS"	174.127317770378	"b"	"HS"	"S41"	"D122"
"S41D122_b_LY"	257.338002488972	"b"	"LY"	"S41"	"D122"
"S41D122_b_STD"	307.405780115299	"b"	"STD"	"S41"	"D122"
"S41D123_a_HS"	243.421632428342	"a"	"HS"	"S41"	"D123"
"S41D123_a_LY"	258.652733490904	"a"	"LY"	"S41"	"D123"
"S41D123_a_STD"	430.186435124157	"a"	"STD"	"S41"	"D123"
"S41D123_b_HS"	153.418234713648	"b"	"HS"	"S41"	"D123"
"S41D123_b_LY"	312.131887564103	"b"	"LY"	"S41"	"D123"
"S41D123_b_STD"	446.358256193513	"b"	"STD"	"S41"	"D123"
"S45D133_a_HS"	182.191896826545	"a"	"HS"	"S45"	"D133"
"S45D133_a_LY"	321.613895978762	"a"	"LY"	"S45"	"D133"
"S45D133_a_STD"	276.934986993592	"a"	"STD"	"S45"	"D133"
"S45D134_a_HS"	403.544159196616	"a"	"HS"	"S45"	"D134"
"S45D134_a_LY"	242.84833048686	"a"	"LY"	"S45"	"D134"
"S45D134_a_STD"	255.609070310814	"a"	"STD"	"S45"	"D134"
"S45D134_b_HS"	145.401944560275	"b"	"HS"	"S45"	"D134"
"S45D134_b_LY"	258.836366051951	"b"	"LY"	"S45"	"D134"
"S45D134_b_STD"	224.333927709884	"b"	"STD"	"S45"	"D134"
"S45D135_a_HS"	172.102000773804	"a"	"HS"	"S45"	"D135"
"S45D135_a_LY"	282.454381995768	"a"	"LY"	"S45"	"D135"
"S45D135_a_STD"	334.316661511652	"a"	"STD"	"S45"	"D135"
"S45D135_b_HS"	192.709778145525	"b"	"HS"	"S45"	"D135"
"S45D135_b_STD"	262.940230914362	"b"	"STD"	"S45"	"D135"
"S47D139_a_HS"	207.19652235124	"a"	"HS"	"S47"	"D139"
"S47D139_a_LY"	279.811821952996	"a"	"LY"	"S47"	"D139"
"S47D139_a_STD"	279.463461242047	"a"	"STD"	"S47"	"D139"
"S47D139_b_HS"	133.043292271523	"b"	"HS"	"S47"	"D139"
"S47D139_b_LY"	261.597133916532	"b"	"LY"	"S47"	"D139"
"S47D140_a_STD"	397.649407409223	"a"	"STD"	"S47"	"D140"
"S47D140_b_LY"	252.55719624855	"b"	"LY"	"S47"	"D140"
"S47D140_b_STD"	307.850555214474	"b"	"STD"	"S47"	"D140"
