prop_data,prop_train,lower,r,MSD
1,0.1,43,0.9461111010518469,0.5024215764820688
1,0.1,44,0.9469181730284886,0.49665495207262106
1,0.1,45,0.9473456895111589,0.49314215937603656
1,0.1,46,0.9473400778035163,0.4930093014421727
1,0.1,47,0.9473153450942469,0.4930599147834603
1,0.1,48,0.9469815392551224,0.4956054227114507
1,0.1,49,0.94639411812679,0.49988679421056015
1,0.1,50,0.9455918431036864,0.5060884496104647
1,0.1,51,0.9445830191139652,0.5142349298881018
1,0.1,52,0.9434324095557078,0.5232407635388315
1,0.2,43,0.9458005574957806,0.348615345647459
1,0.2,44,0.9466092595018514,0.3441202312616647
1,0.2,45,0.9470305694849975,0.34134244295808414
1,0.2,46,0.9470227067469259,0.3410425687426251
1,0.2,47,0.9469801527166434,0.3414102161246433
1,0.2,48,0.9466647439158539,0.3431448811887829
1,0.2,49,0.9460734438337955,0.346605822609062
1,0.2,50,0.9452608153816372,0.3515504855286857
1,0.2,51,0.9442547229528142,0.3575243051301052
1,0.2,52,0.9430767190080126,0.36448576054041787
1,0.30000000000000004,43,0.9453698072533784,0.30177773718224965
1,0.30000000000000004,44,0.9461783534090326,0.2977678483535623
1,0.30000000000000004,45,0.9466034612285835,0.2951505427910451
1,0.30000000000000004,46,0.946597855829186,0.2954608793073147
1,0.30000000000000004,47,0.9465896911774144,0.2954707979413619
1,0.30000000000000004,48,0.9462532795962526,0.29727213043868406
1,0.30000000000000004,49,0.945638440345397,0.300273884196429
1,0.30000000000000004,50,0.9448333904831364,0.30452131675399163
1,0.30000000000000004,51,0.9437976445408319,0.30942725791848963
1,0.30000000000000004,52,0.9426173261371686,0.3156355845622244
1,0.4,43,0.9447023809657691,0.2840869474217146
1,0.4,44,0.9455504307010428,0.28010190061599255
1,0.4,45,0.9459840988571808,0.2778638726650826
1,0.4,46,0.9459768015448261,0.2777393035856132
1,0.4,47,0.9459669618330443,0.2778356757982986
1,0.4,48,0.945616900207585,0.2794277458674119
1,0.4,49,0.9449861836688948,0.28229895652908427
1,0.4,50,0.9441695084832019,0.28646764196201985
1,0.4,51,0.9430995917682453,0.29110138419906656
1,0.4,52,0.9419192740103327,0.2970961113276195
1,0.5,43,0.9437364998486368,0.27662220932989323
1,0.5,44,0.9445450337782368,0.27271270162250427
1,0.5,45,0.9450034590460406,0.27066908435506704
1,0.5,46,0.9449828902940333,0.2704825870707663
1,0.5,47,0.9449628407822892,0.27064391718804404
1,0.5,48,0.944626269954768,0.2720904054476986
1,0.5,49,0.9439821025606697,0.2751556616715556
1,0.5,50,0.943167930118178,0.2789575272076822
1,0.5,51,0.942038965943072,0.28382463239265276
1,0.5,52,0.9408535647795231,0.2896587944273528
1,0.6,43,0.9420858949905553,0.27316064835337817
1,0.6,44,0.942987039885677,0.2691036035378684
1,0.6,45,0.9434278208522637,0.26698876451432213
1,0.6,46,0.9433864779528338,0.26694140433722907
1,0.6,47,0.9433745921596877,0.2670887514387063
1,0.6,48,0.9429318509415174,0.2685818950861646
1,0.6,49,0.942336107991015,0.27152647414444525
1,0.6,50,0.941459654223417,0.27521817536699184
1,0.6,51,0.9403163310611924,0.28012087596617896
1,0.6,52,0.9390766834949201,0.2857273860289789
1,0.7000000000000001,43,0.938538962933362,0.2708984558806983
1,0.7000000000000001,44,0.9393897185910087,0.2668497778453441
1,0.7000000000000001,45,0.9399147713982959,0.2648017462164574
1,0.7000000000000001,46,0.939926684967506,0.2647758123746729
1,0.7000000000000001,47,0.9398618947184489,0.26489284774243427
1,0.7000000000000001,48,0.9393870702219876,0.2663373095140719
1,0.7000000000000001,49,0.9387085932780163,0.2691939417343117
1,0.7000000000000001,50,0.9377255479433287,0.27308960403925037
1,0.7000000000000001,51,0.9364458108550169,0.2778819682762084
1,0.7000000000000001,52,0.9350191497108922,0.28328426582662397
1,0.8,43,0.9298213506177614,0.2692426557661295
1,0.8,44,0.9308926567037598,0.2654159207074135
1,0.8,45,0.9312323404876007,0.26331485512915104
1,0.8,46,0.9314314313259242,0.2634428188851069
1,0.8,47,0.931223480111449,0.26330772590989626
1,0.8,48,0.9305654908544856,0.26497082760605295
1,0.8,49,0.9296821757185578,0.26778173481901424
1,0.8,50,0.9285600932197081,0.2716319090085317
1,0.8,51,0.9269964056836014,0.27626043282909607
1,0.8,52,0.9254301709421439,0.2819298370818644
1,0.9,43,0.8984598765895162,0.26824542884134656
1,0.9,44,0.8999204752216665,0.2643745409823349
1,0.9,45,0.9006052927836894,0.262231938091588
1,0.9,46,0.9005355201312655,0.26241411188457214
1,0.9,47,0.9001508017500066,0.26225649254483474
1,0.9,48,0.8991951371658518,0.2639709440232982
1,0.9,49,0.8976277545678134,0.2665346468481805
1,0.9,50,0.8957527053421757,0.2704530286019012
1,0.9,51,0.8932824056220825,0.2752114596885613
1,0.9,52,0.8910378419581189,0.2806256589109325
1,1,43,NA,NaN
1,1,44,NA,NaN
1,1,45,NA,NaN
1,1,46,NA,NaN
1,1,47,NA,NaN
1,1,48,NA,NaN
1,1,49,NA,NaN
1,1,50,NA,NaN
1,1,51,NA,NaN
1,1,52,NA,NaN
