"id"	"repl"	"Diet"	"Median"
"S33D98"	"a"	"LY"	68
"S33D98"	"a"	"STD"	68
"S33D98"	"b"	"HS"	52
"S33D98"	"b"	"LY"	65
"S33D98"	"b"	"STD"	65
"S33D99"	"a"	"HS"	71
"S33D99"	"a"	"LY"	72
"S33D99"	"a"	"STD"	62
"S33D99"	"b"	"HS"	55
"S33D99"	"b"	"LY"	72
"S33D99"	"b"	"STD"	65
"S35D103"	"a"	"HS"	37
"S35D103"	"a"	"LY"	79
"S35D103"	"a"	"STD"	63
"S35D103"	"b"	"HS"	31.5
"S35D103"	"b"	"LY"	63
"S35D104"	"a"	"STD"	64
"S37D109"	"a"	"HS"	56.5
"S37D109"	"a"	"LY"	71
"S37D109"	"a"	"STD"	70
"S37D109"	"b"	"HS"	51
"S37D109"	"b"	"LY"	68
"S37D109"	"b"	"STD"	68
"S37D110"	"a"	"LY"	72
"S37D110"	"a"	"STD"	71
"S37D110"	"b"	"HS"	40
"S37D111"	"a"	"HS"	59
"S37D111"	"a"	"LY"	61
"S37D111"	"a"	"STD"	68
"S3D7"	"a"	"HS"	47
"S3D7"	"a"	"LY"	68
"S3D7"	"a"	"STD"	64
"S3D7"	"b"	"LY"	75
"S3D7"	"b"	"STD"	56.5
"S3D8"	"a"	"STD"	59.5
"S3D9"	"a"	"HS"	50
"S3D9"	"a"	"LY"	81
"S3D9"	"a"	"STD"	68
"S3D9"	"b"	"HS"	58
"S3D9"	"b"	"LY"	66
"S3D9"	"b"	"STD"	62
"S41D121"	"a"	"HS"	60
"S41D121"	"a"	"LY"	76
"S41D121"	"a"	"STD"	81
"S41D121"	"b"	"HS"	47
"S41D121"	"b"	"LY"	83
"S41D121"	"b"	"STD"	64
"S41D122"	"a"	"HS"	46
"S41D122"	"a"	"LY"	64.5
"S41D122"	"a"	"STD"	71
"S41D122"	"b"	"HS"	48
"S41D122"	"b"	"LY"	65
"S41D122"	"b"	"STD"	69
"S41D123"	"a"	"HS"	47
"S41D123"	"a"	"LY"	73
"S41D123"	"a"	"STD"	61
"S41D123"	"b"	"HS"	41.5
"S41D123"	"b"	"LY"	75
"S41D123"	"b"	"STD"	65
"S45D133"	"a"	"HS"	57
"S45D133"	"a"	"LY"	61.5
"S45D133"	"a"	"STD"	50
"S45D134"	"a"	"HS"	67
"S45D134"	"a"	"LY"	54
"S45D134"	"a"	"STD"	67.5
"S45D134"	"b"	"HS"	49.5
"S45D134"	"b"	"LY"	69.5
"S45D134"	"b"	"STD"	68
"S45D135"	"a"	"HS"	51.5
"S45D135"	"a"	"LY"	68
"S45D135"	"a"	"STD"	59.5
"S45D135"	"b"	"HS"	54
"S45D135"	"b"	"STD"	63.5
"S47D139"	"a"	"HS"	33
"S47D139"	"a"	"LY"	66
"S47D139"	"a"	"STD"	54
"S47D139"	"b"	"HS"	44
"S47D139"	"b"	"LY"	52.5
"S47D140"	"a"	"STD"	64
"S47D140"	"b"	"LY"	68
"S47D140"	"b"	"STD"	73
"S47D141"	"a"	"HS"	41
"S47D141"	"a"	"LY"	68
"S47D141"	"a"	"STD"	54
"S47D141"	"b"	"LY"	69.5
"S49D145"	"a"	"HS"	61
"S49D145"	"a"	"LY"	78
"S49D145"	"a"	"STD"	68
"S49D145"	"b"	"HS"	54
"S49D145"	"b"	"LY"	65
"S49D145"	"b"	"STD"	69
"S49D146"	"a"	"HS"	36
"S49D146"	"a"	"LY"	64.5
"S49D146"	"a"	"STD"	58
"S49D146"	"b"	"HS"	38.5
"S49D146"	"b"	"LY"	59
"S49D146"	"b"	"STD"	62
"S49D147"	"a"	"HS"	45
"S49D147"	"a"	"LY"	75
"S49D147"	"a"	"STD"	64
"S49D147"	"b"	"HS"	45.5
"S49D147"	"b"	"LY"	73
"S49D147"	"b"	"STD"	70
"S53D157"	"a"	"HS"	47
"S53D157"	"a"	"LY"	63
"S53D157"	"a"	"STD"	70.5
"S53D157"	"b"	"HS"	50
"S53D157"	"b"	"LY"	69
"S53D157"	"b"	"STD"	56.5
"S53D158"	"a"	"HS"	54
"S53D158"	"a"	"LY"	65
"S53D158"	"a"	"STD"	69
"S53D158"	"b"	"HS"	49.5
"S53D158"	"b"	"STD"	73
"S53D159"	"a"	"HS"	45.5
"S53D159"	"a"	"LY"	79
"S53D159"	"a"	"STD"	82
"S53D159"	"b"	"LY"	70.5
"S55D163"	"a"	"HS"	34.5
"S55D163"	"a"	"STD"	79.5
"S55D163"	"b"	"HS"	47
"S55D163"	"b"	"LY"	78
"S55D163"	"b"	"STD"	64
"S55D164"	"a"	"HS"	54
"S55D164"	"a"	"LY"	79
"S55D164"	"a"	"STD"	75
"S55D164"	"b"	"HS"	59
"S55D164"	"b"	"LY"	72
"S55D164"	"b"	"STD"	62
"S55D165"	"a"	"HS"	45
"S55D165"	"a"	"LY"	64
"S55D165"	"a"	"STD"	66.5
"S55D165"	"b"	"HS"	52
"S55D165"	"b"	"LY"	75
"S55D165"	"b"	"STD"	62
"S57D169"	"a"	"HS"	55
"S57D169"	"a"	"LY"	79
"S57D169"	"a"	"STD"	75
"S57D169"	"b"	"HS"	58
"S57D169"	"b"	"LY"	83
"S57D169"	"b"	"STD"	63
"S57D170"	"a"	"HS"	54
"S57D170"	"a"	"LY"	79
"S57D170"	"a"	"STD"	51
"S57D170"	"b"	"HS"	62.5
"S57D170"	"b"	"LY"	76
"S57D170"	"b"	"STD"	59
"S57D171"	"a"	"HS"	64
"S57D171"	"a"	"LY"	65.5
"S57D171"	"a"	"STD"	62
"S57D171"	"b"	"HS"	61
"S57D171"	"b"	"LY"	69
"S57D171"	"b"	"STD"	76
"S59D175"	"a"	"HS"	32
"S59D175"	"a"	"LY"	66.5
"S59D175"	"a"	"STD"	50
"S59D175"	"b"	"LY"	65
"S59D175"	"b"	"STD"	42
"S59D176"	"a"	"HS"	54
"S59D176"	"a"	"LY"	65
"S59D176"	"a"	"STD"	54
"S59D176"	"b"	"HS"	37
"S59D176"	"b"	"LY"	68
"S59D176"	"b"	"STD"	33
"S59D177"	"a"	"HS"	47
"S59D177"	"a"	"LY"	71
"S59D177"	"a"	"STD"	40
"S59D177"	"b"	"HS"	48
"S59D177"	"b"	"LY"	66
"S59D177"	"b"	"STD"	53
"S5D13"	"a"	"HS"	52.5
"S5D13"	"a"	"LY"	61
"S5D13"	"a"	"STD"	58
"S5D13"	"b"	"HS"	51.5
"S5D14"	"a"	"LY"	71
"S5D14"	"a"	"STD"	64
"S5D14"	"b"	"STD"	58
"S5D15"	"a"	"HS"	58
"S5D15"	"a"	"LY"	71
"S5D15"	"a"	"STD"	67
"S5D15"	"b"	"HS"	55
"S5D15"	"b"	"LY"	68
"S5D15"	"b"	"STD"	58
"S61D181"	"a"	"HS"	47
"S61D181"	"a"	"LY"	78
"S61D181"	"a"	"STD"	71
"S61D181"	"b"	"HS"	48
"S61D181"	"b"	"LY"	75
"S61D181"	"b"	"STD"	68
"S61D182"	"a"	"HS"	51
"S61D182"	"a"	"LY"	82
"S61D182"	"a"	"STD"	75
"S61D182"	"b"	"HS"	48
"S61D182"	"b"	"LY"	73
"S61D182"	"b"	"STD"	78
"S61D183"	"a"	"HS"	51
"S61D183"	"a"	"LY"	85
"S61D183"	"a"	"STD"	75
"S61D183"	"b"	"HS"	47
"S61D183"	"b"	"LY"	62.5
"S61D183"	"b"	"STD"	58
"S7D19"	"a"	"HS"	37
"S7D19"	"a"	"LY"	73.5
"S7D19"	"a"	"STD"	55.5
"S7D19"	"b"	"HS"	48
"S7D19"	"b"	"LY"	68
"S7D19"	"b"	"STD"	59
"S7D21"	"a"	"HS"	55
"S7D21"	"a"	"LY"	59
"S7D21"	"a"	"STD"	72
"S7D21"	"b"	"HS"	49.5
"S7D21"	"b"	"LY"	72
"S7D21"	"b"	"STD"	65
"S9D25"	"a"	"LY"	58
"S9D25"	"a"	"STD"	61
"S9D26"	"a"	"LY"	64
"S9D26"	"a"	"STD"	58
"S9D27"	"a"	"HS"	37
"S9D27"	"a"	"LY"	55
"S9D27"	"a"	"STD"	50
"S9D27"	"b"	"LY"	48
"S9D27"	"b"	"STD"	44
