prop_data,prop_train,lower,r,MSD
0.2,0.1,40,NA,0.7567344543870796
0.2,0.1,41,NA,0.7511272804572603
0.2,0.1,42,NA,0.7568819788850194
0.2,0.1,43,NA,0.7653360117657121
0.2,0.1,44,NA,0.7635643525814858
0.2,0.1,45,NA,0.7447842541317067
0.2,0.1,46,NA,0.7464876180356186
0.2,0.1,47,NA,0.7615569251014108
0.2,0.1,48,NA,0.7497749068880795
0.2,0.1,49,NA,0.7697341821416345
0.2,0.1,50,NA,0.7625961464897744
0.2,0.2,40,0.559238354851273,1.2128866942299965
0.2,0.2,41,0.5736920351237624,1.776494758964541
0.2,0.2,42,0.5835614172550057,1.3710695069077297
0.2,0.2,43,0.6022527390581689,1.594537382014621
0.2,0.2,44,0.6198984861945508,1.1783323515204354
0.2,0.2,45,0.6223977509557359,1.3925730186129557
0.2,0.2,46,0.6434968129516396,0.9569934777641141
0.2,0.2,47,0.6408824290192329,1.0202768565226608
0.2,0.2,48,0.6487287543989991,1.3788209362276027
0.2,0.2,49,0.6583832393383626,2.4473638349134474
0.2,0.2,50,0.660953874504065,0.9777112539126694
0.2,0.30000000000000004,40,0.6674759007174528,0.3067629964512799
0.2,0.30000000000000004,41,0.6973359544494497,0.28996711247111734
0.2,0.30000000000000004,42,0.7048233439031226,0.28359972372880843
0.2,0.30000000000000004,43,0.7275864341068532,0.278039419142059
0.2,0.30000000000000004,44,0.7331380913474054,0.2684031720613298
0.2,0.30000000000000004,45,0.7403147206969496,0.265309675831955
0.2,0.30000000000000004,46,0.7391136910451936,0.258664843746103
0.2,0.30000000000000004,47,0.7478931467153288,0.25126087371734973
0.2,0.30000000000000004,48,0.7576830122823638,0.24696603526568223
0.2,0.30000000000000004,49,0.7647662042045861,0.24456837516202462
0.2,0.30000000000000004,50,0.7687687220075904,0.24083304491277555
0.2,0.4,40,0.7131780271730223,0.23884658508435022
0.2,0.4,41,0.7238790615815621,0.23752326501556928
0.2,0.4,42,0.7337625335290416,0.2283259038224047
0.2,0.4,43,0.7553432492227717,0.21804189433828272
0.2,0.4,44,0.7603314625109934,0.21363443173035165
0.2,0.4,45,0.7672845285811877,0.20994873871578282
0.2,0.4,46,0.7740466610677327,0.20396058804607983
0.2,0.4,47,0.7845217170850833,0.1982620315183719
0.2,0.4,48,0.7821689573014745,0.19624416644068265
0.2,0.4,49,0.7885957892796185,0.19269147658158753
0.2,0.4,50,0.7949601440871691,0.19411961989094598
0.2,0.5,40,0.7204050330028052,0.21810917647687328
0.2,0.5,41,0.7389289227177908,0.21127849948885488
0.2,0.5,42,0.7484884936521636,0.20267200166484348
0.2,0.5,43,0.7602864254396718,0.1969546872913916
0.2,0.5,44,0.7681755551256572,0.19377887698614463
0.2,0.5,45,0.7748762205819254,0.188873637908181
0.2,0.5,46,0.7796902628374099,0.18369121460002036
0.2,0.5,47,0.7782890981086881,0.18107972919364
0.2,0.5,48,0.7998491738156387,0.17860462502529437
0.2,0.5,49,0.7979963374816599,0.177567898822429
0.2,0.5,50,0.7952582756757939,0.17559633778423028
0.2,0.6,40,0.7311991891102265,0.20081927293899482
0.2,0.6,41,0.7339199037650299,0.20143252883776905
0.2,0.6,42,0.7527317190085797,0.1889410251124958
0.2,0.6,43,0.7565392542818651,0.18616852133229073
0.2,0.6,44,0.7686782037096996,0.18152486824269878
0.2,0.6,45,0.7780925967973495,0.17648712855001686
0.2,0.6,46,0.7773970335719042,0.1727067148956504
0.2,0.6,47,0.7844486502649224,0.17288868034963295
0.2,0.6,48,0.7892157260157149,0.16756045218014592
0.2,0.6,49,0.7921414606610134,0.16687127106709315
0.2,0.6,50,0.7960285035066977,0.16481928031913629
0.2,0.7000000000000001,40,0.7138025339737173,0.20206675904063884
0.2,0.7000000000000001,41,0.7331280859686453,0.18980772505411275
0.2,0.7000000000000001,42,0.7427399372944274,0.18342981027782487
0.2,0.7000000000000001,43,0.7508331480777748,0.17923563627128136
0.2,0.7000000000000001,44,0.7627284612729432,0.17537038301507898
0.2,0.7000000000000001,45,0.7631533073379518,0.17046500913059554
0.2,0.7000000000000001,46,0.7733825901644718,0.1655415452959232
0.2,0.7000000000000001,47,0.7785670332379823,0.1610158992747572
0.2,0.7000000000000001,48,0.7824180864323651,0.1626213725376286
0.2,0.7000000000000001,49,0.7899000233669667,0.1611948673902439
0.2,0.7000000000000001,50,0.7952346046888715,0.15373916601629614
0.2,0.8,40,0.6922786849588487,0.19677147380411739
0.2,0.8,41,0.7100876039510328,0.18727804077070917
0.2,0.8,42,0.7166783995344068,0.17644814895086616
0.2,0.8,43,0.7208717560559442,0.17720882750233222
0.2,0.8,44,0.7316403163906091,0.1712393979374185
0.2,0.8,45,0.74446103066205,0.16665196969436252
0.2,0.8,46,0.7480644938572377,0.16265027033633858
0.2,0.8,47,0.7532173874072553,0.157371025518332
0.2,0.8,48,0.7566123183262726,0.15953113311151287
0.2,0.8,49,0.7570376519928295,0.15736701210244985
0.2,0.8,50,0.7613708218191415,0.15412357449069894
0.2,0.9,40,NA,0.18762608141393222
0.2,0.9,41,NA,0.1844493873402471
0.2,0.9,42,NA,0.17634437417141352
0.2,0.9,43,NA,0.16842023799261116
0.2,0.9,44,NA,0.16547005847899285
0.2,0.9,45,NA,0.16258921074793195
0.2,0.9,46,NA,0.15680156720365365
0.2,0.9,47,NA,0.1542081954661643
0.2,0.9,48,NA,0.15321089041865604
0.2,0.9,49,NA,0.15580960828647242
0.2,0.9,50,NA,0.15313836224057198
0.30000000000000004,0.1,40,NA,888.891100875183
0.30000000000000004,0.1,41,NA,1392.3780892550744
0.30000000000000004,0.1,42,NA,2725.565165069219
0.30000000000000004,0.1,43,NA,301.50756051631816
0.30000000000000004,0.1,44,NA,11314.076319698375
0.30000000000000004,0.1,45,NA,5830.169405139204
0.30000000000000004,0.1,46,NA,220.3801433487525
0.30000000000000004,0.1,47,NA,3053.132631778466
0.30000000000000004,0.1,48,NA,187.31445595285342
0.30000000000000004,0.1,49,NA,387.2064048863599
0.30000000000000004,0.1,50,NA,831.5070566532515
0.30000000000000004,0.2,40,0.6761730821460379,0.30605892524363276
0.30000000000000004,0.2,41,0.6932480859398673,0.2945246023267641
0.30000000000000004,0.2,42,0.711153763232149,0.28851384133125985
0.30000000000000004,0.2,43,0.7203289361002294,0.27756012813218184
0.30000000000000004,0.2,44,0.7303268120210059,0.27311888439443976
0.30000000000000004,0.2,45,0.7439156577922861,0.262335102777023
0.30000000000000004,0.2,46,0.7506304781823846,0.25691456479177066
0.30000000000000004,0.2,47,0.7535251837482744,0.2557366909946485
0.30000000000000004,0.2,48,0.7663795013925697,0.24717284186273214
0.30000000000000004,0.2,49,0.771564111360316,0.24221531699081472
0.30000000000000004,0.2,50,0.7692851195142594,0.23977251308411324
0.30000000000000004,0.30000000000000004,40,0.7311846797714082,0.22554944754669587
0.30000000000000004,0.30000000000000004,41,0.7436677250856589,0.22347500516973795
0.30000000000000004,0.30000000000000004,42,0.753043056256091,0.21559337201469025
0.30000000000000004,0.30000000000000004,43,0.7663197716973623,0.20418818348522114
0.30000000000000004,0.30000000000000004,44,0.7695952668162382,0.20226970848314108
0.30000000000000004,0.30000000000000004,45,0.7825358044739361,0.19670427898846163
0.30000000000000004,0.30000000000000004,46,0.7871796967832035,0.1912297698832594
0.30000000000000004,0.30000000000000004,47,0.7951580364184745,0.18738738084148604
0.30000000000000004,0.30000000000000004,48,0.7974471647791339,0.18641664451993897
0.30000000000000004,0.30000000000000004,49,0.7981768474630195,0.18463622994909107
0.30000000000000004,0.30000000000000004,50,0.8010851301031336,0.18034035855688907
0.30000000000000004,0.4,40,0.7365135768694354,0.20480711077963043
0.30000000000000004,0.4,41,0.7538685147622302,0.19983919068086428
0.30000000000000004,0.4,42,0.7623344606877559,0.19177722811935688
0.30000000000000004,0.4,43,0.7731947649358857,0.18584617702942968
0.30000000000000004,0.4,44,0.7798099051478566,0.1815522861305549
0.30000000000000004,0.4,45,0.787449748470157,0.17544410282525427
0.30000000000000004,0.4,46,0.792430984799211,0.17231376223823133
0.30000000000000004,0.4,47,0.7946662864651372,0.17204462185978103
0.30000000000000004,0.4,48,0.8022445942287778,0.16437258233541696
0.30000000000000004,0.4,49,0.7982545117407035,0.16859711244730774
0.30000000000000004,0.4,50,0.8042291578314644,0.1645031107789505
0.30000000000000004,0.5,40,0.7419490143498861,0.1954339051735489
0.30000000000000004,0.5,41,0.7515150249644347,0.1899861310103381
0.30000000000000004,0.5,42,0.7609805944444831,0.18346140962103466
0.30000000000000004,0.5,43,0.7702276628431707,0.17682866336203404
0.30000000000000004,0.5,44,0.778621215197783,0.1712891057615163
0.30000000000000004,0.5,45,0.7822251098076733,0.16847465715625654
0.30000000000000004,0.5,46,0.7863441442957343,0.1650321095525356
0.30000000000000004,0.5,47,0.7949136578211433,0.1612507077461729
0.30000000000000004,0.5,48,0.7942988032427158,0.16137213634846065
0.30000000000000004,0.5,49,0.8045017409380858,0.15622912365241176
0.30000000000000004,0.5,50,0.8026886365696119,0.1552435623389672
0.30000000000000004,0.6,40,0.7407008031397858,0.1904318737340566
0.30000000000000004,0.6,41,0.7514781426450424,0.18279769359326528
0.30000000000000004,0.6,42,0.7574329142218992,0.1777379992166016
0.30000000000000004,0.6,43,0.7678421175351798,0.171597919144849
0.30000000000000004,0.6,44,0.7732954508076887,0.16482083688126034
0.30000000000000004,0.6,45,0.7825236188426853,0.16301573957121873
0.30000000000000004,0.6,46,0.7901720726528562,0.15738836480524354
0.30000000000000004,0.6,47,0.7897281868579298,0.1568749451109751
0.30000000000000004,0.6,48,0.7926593969123781,0.15467398807718988
0.30000000000000004,0.6,49,0.7989066864803954,0.1533970424618853
0.30000000000000004,0.6,50,0.8033833377605014,0.15025242330446306
0.30000000000000004,0.7000000000000001,40,0.7276315821047992,0.18666215714453158
0.30000000000000004,0.7000000000000001,41,0.744695516169856,0.1784749464035652
0.30000000000000004,0.7000000000000001,42,0.7542259868186977,0.17063098590844727
0.30000000000000004,0.7000000000000001,43,0.7643916722697345,0.1673245111218333
0.30000000000000004,0.7000000000000001,44,0.7689172733463375,0.1621635946731741
0.30000000000000004,0.7000000000000001,45,0.775693374918443,0.15818692420288805
0.30000000000000004,0.7000000000000001,46,0.7833229668278998,0.1549030186485908
0.30000000000000004,0.7000000000000001,47,0.7868440553480353,0.1528118330016778
0.30000000000000004,0.7000000000000001,48,0.7901438797215645,0.1490137312589469
0.30000000000000004,0.7000000000000001,49,0.7945364761668051,0.14935378601339064
