camera_id,img_size
IMG_2170.JPG,2040
IMG_2171.JPG,1992
IMG_2172.JPG,2080
IMG_2173.JPG,2144
IMG_2175.JPG,2192
IMG_2176.JPG,2168
IMG_2177.JPG,2136
IMG_2178.JPG,2128
IMG_2179.JPG,2128
IMG_2180.JPG,2080
IMG_2181.JPG,2168
IMG_2182.JPG,2136
IMG_2183.JPG,2136
IMG_2185.JPG,2144
IMG_2186.JPG,2080
IMG_2187.JPG,2152
IMG_2188.JPG,2168
IMG_2190.JPG,2123
IMG_2191.JPG,2079
IMG_2192.JPG,2151
IMG_2193.JPG,2140
IMG_2194.JPG,2167
IMG_2195.JPG,2168
IMG_2196.JPG,2123
IMG_2197.JPG,2149
IMG_2198.JPG,2151
IMG_2199.JPG,2172
IMG_2200.JPG,2150
IMG_2201.JPG,2160
IMG_2202.JPG,2152
IMG_2203.JPG,2152
IMG_2204.JPG,2100
IMG_2205.JPG,2084
IMG_2206.JPG,2733
IMG_2207.JPG,2735
IMG_2208.JPG,2706
IMG_2210.JPG,2713
IMG_2211.JPG,2722
IMG_2212.JPG,2739
IMG_2213.JPG,2724
IMG_2214.JPG,2700
IMG_2215.JPG,2718
IMG_2216.JPG,2722
IMG_2219.JPG,2740
IMG_2220.JPG,2728
IMG_2221.JPG,2750
IMG_2222.JPG,2761
IMG_2223.JPG,2740
IMG_2224.JPG,2789
IMG_2225.JPG,2739
IMG_2226.JPG,2789
IMG_2227.JPG,2736
IMG_2229.JPG,2752
IMG_2230.JPG,2752
IMG_2231.JPG,2744
IMG_2232.JPG,2760
IMG_2233.JPG,2736
IMG_2234.JPG,2768
IMG_2235.JPG,2736
IMG_2236.JPG,2760
IMG_2238.JPG,2760
IMG_2239.JPG,2282
IMG_2240.JPG,2239
IMG_2241.JPG,2233
IMG_2242.JPG,2194
IMG_2243.JPG,2266
IMG_2244.JPG,2239
IMG_2245.JPG,2200
IMG_2246.JPG,2234
IMG_2247.JPG,2228
IMG_2248.JPG,2273
IMG_2249.JPG,2222
IMG_2250.JPG,2233
IMG_2251.JPG,2234
IMG_2252.JPG,2234
IMG_2253.JPG,2245
IMG_2254.JPG,2261
IMG_2255.JPG,2222
IMG_2256.JPG,2277
IMG_2257.JPG,2249
IMG_2258.JPG,2294
IMG_2259.JPG,2195
IMG_2260.JPG,2251
IMG_2261.JPG,2184
IMG_2263.JPG,2167
IMG_2264.JPG,2151
IMG_2265.JPG,2117
IMG_2266.JPG,2119
IMG_2267.JPG,2056
IMG_2268.JPG,2079
IMG_2269.JPG,2107
IMG_2270.JPG,2117
IMG_2271.JPG,1959
IMG_2272.JPG,1971
IMG_2273.JPG,2002
IMG_2274.JPG,1969
IMG_2275.JPG,1986
IMG_2276.JPG,1958
IMG_2278.JPG,2003
IMG_2279.JPG,1963
IMG_2280.JPG,2040
IMG_2281.JPG,1990
IMG_2282.JPG,2007
IMG_2283.JPG,2023
IMG_2284.JPG,1985
IMG_2286.JPG,1957
IMG_2287.JPG,1964
IMG_2288.JPG,1963
IMG_2289.JPG,1980
