camera_id,setDate,flipDate,days,id,fID,repl,treat,NstartF,NstartM,deadF,deadM,cens,carriedF,carriedM,egg_count,NewAge,lifespan_age,age,sireid,damid,n_females,eggs_per_female
IMG_5562.JPG,2016-03-31,2016-05-24,54,S11D31_a_STD,S11D31_a,a,STD,14,6,0,0,0,0,0,78.40797491271249,56,53,53,S11,D31,13,6.031382685593268
IMG_5629.JPG,2016-03-31,2016-05-31,61,S11D31_a_STD,S11D31_a,a,STD,14,6,1,0,0,0,0,23.621258009591173,63,60,60,S11,D31,7,3.3744654299415964
IMG_5708.JPG,2016-03-31,2016-06-07,68,S11D31_a_STD,S11D31_a,a,STD,14,6,0,0,0,0,0,157.52321865829427,70,67,67,S11,D31,3,52.507739552764754
IMG_1927.JPG,2016-02-29,2016-03-08,8,S11D32_a_STD,S11D32_a,a,STD,24,6,0,0,0,0,0,864.7388162390772,10,7,7,S11,D32,24,36.03078400996155
IMG_2163.JPG,2016-02-29,2016-03-15,15,S11D32_a_STD,S11D32_a,a,STD,24,6,0,0,0,0,0,2053.383942808643,17,14,14,S11,D32,24,85.55766428369346
IMG_2343.JPG,2016-02-29,2016-03-22,22,S11D32_a_STD,S11D32_a,a,STD,24,6,0,0,0,0,0,1037.6546383137954,24,21,21,S11,D32,24,43.23560992974148
IMG_2593.JPG,2016-02-29,2016-04-05,36,S11D32_a_STD,S11D32_a,a,STD,24,6,0,0,0,0,0,1017,38,35,35,S11,D32,24,42.375
IMG_3452.JPG,2016-02-29,2016-04-12,43,S11D32_a_STD,S11D32_a,a,STD,16,6,0,0,0,0,0,1728.8159938925671,45,42,42,S11,D32,24,72.03399974552363
IMG_4271.JPG,2016-02-29,2016-04-19,50,S11D32_a_STD,S11D32_a,a,STD,24,6,0,0,0,0,0,1010.8240529120447,52,49,49,S11,D32,24,42.1176688713352
IMG_4331.JPG,2016-02-29,2016-05-03,64,S11D32_a_STD,S11D32_a,a,STD,24,6,0,1,0,0,0,267.9179969156109,66,63,63,S11,D32,24,11.163249871483787
IMG_4925.JPG,2016-02-29,2016-05-10,71,S11D32_a_STD,S11D32_a,a,STD,24,6,1,0,0,0,0,127.63540668865701,73,70,70,S11,D32,20,6.381770334432851
IMG_5568.JPG,2016-02-29,2016-05-24,85,S11D32_a_STD,S11D32_a,a,STD,24,6,0,0,0,0,0,18.130418253337204,87,84,84,S11,D32,3,6.043472751112401
IMG_1924.JPG,2016-03-05,2016-03-08,3,S11D32_b_STD,S11D32_b,b,STD,16,6,0,0,0,0,0,553.8523364663542,5,2,2,S11,D32,16,34.61577102914714
IMG_2151.JPG,2016-03-05,2016-03-15,10,S11D32_b_STD,S11D32_b,b,STD,16,6,0,0,0,0,0,1780.6899800108613,12,9,9,S11,D32,16,111.29312375067883
IMG_2628.JPG,2016-03-05,2016-04-05,31,S11D32_b_STD,S11D32_b,b,STD,16,6,0,0,0,0,0,644.1393857547852,33,30,30,S11,D32,16,40.25871160967407
IMG_3386.JPG,2016-03-05,2016-04-12,38,S11D32_b_STD,S11D32_b,b,STD,20,6,0,0,0,0,0,893.8357039224951,40,37,37,S11,D32,15,59.58904692816634
IMG_4627.JPG,2016-03-05,2016-04-19,45,S11D32_b_STD,S11D32_b,b,STD,16,6,0,0,0,0,0,510.5036015485598,47,44,44,S11,D32,14,36.46454296775427
IMG_3933.JPG,2016-03-05,2016-04-26,52,S11D32_b_STD,S11D32_b,b,STD,16,6,0,0,0,0,0,655.8435441825897,54,51,51,S11,D32,14,46.845967441613546
IMG_4973.JPG,2016-03-05,2016-05-10,66,S11D32_b_STD,S11D32_b,b,STD,16,6,0,0,0,0,0,211.05510376116362,68,65,65,S11,D32,11,19.18682761465124
IMG_5205.JPG,2016-03-05,2016-05-17,73,S11D32_b_STD,S11D32_b,b,STD,16,6,0,0,0,0,0,109.10192125099645,75,72,72,S11,D32,4,27.275480312749114
IMG_5594.JPG,2016-03-05,2016-05-24,80,S11D32_b_STD,S11D32_b,b,STD,16,6,0,0,0,0,0,4.319663409352152,82,79,79,S11,D32,1,4.319663409352152
IMG_1899.JPG,2016-03-05,2016-03-08,3,S11D33_a_HS,S11D33_a,a,HS,23,6,1,0,0,0,0,276,5,2,2,S11,D33,23,12
IMG_1999.JPG,2016-03-05,2016-03-15,10,S11D33_a_HS,S11D33_a,a,HS,23,6,0,0,0,0,0,580.5460311262593,12,9,9,S11,D33,22,26.388455960284514
IMG_2276.JPG,2016-03-05,2016-03-22,17,S11D33_a_HS,S11D33_a,a,HS,23,6,0,0,0,0,0,488.92809962544,19,16,16,S11,D33,22,22.22400452842909
IMG_3341.JPG,2016-03-05,2016-03-29,24,S11D33_a_HS,S11D33_a,a,HS,23,6,0,0,0,0,0,764.755339403245,26,23,23,S11,D33,22,34.761606336511136
IMG_2702.JPG,2016-03-05,2016-04-05,31,S11D33_a_HS,S11D33_a,a,HS,23,6,0,0,0,0,0,240.59308383497307,33,30,30,S11,D33,20,12.029654191748653
IMG_3873.JPG,2016-03-05,2016-04-19,45,S11D33_a_HS,S11D33_a,a,HS,23,6,0,0,0,0,0,409.4173937367485,47,44,44,S11,D33,15,27.294492915783234
IMG_3596.JPG,2016-03-05,2016-04-26,52,S11D33_a_HS,S11D33_a,a,HS,23,6,1,0,0,0,0,635.4696387712263,54,51,51,S11,D33,14,45.39068848365902
IMG_4176.JPG,2016-03-05,2016-05-03,59,S11D33_a_HS,S11D33_a,a,HS,23,6,1,0,0,0,0,23.157350495558635,61,58,58,S11,D33,11,2.1052136814144213
IMG_4843.JPG,2016-03-05,2016-05-10,66,S11D33_a_HS,S11D33_a,a,HS,23,6,1,0,0,0,0,12.898149898347274,68,65,65,S11,D33,9,1.4331277664830304
IMG_5147.JPG,2016-03-05,2016-05-17,73,S11D33_a_HS,S11D33_a,a,HS,23,6,0,0,0,0,0,11.79541892236829,75,72,72,S11,D33,6,1.9659031537280482
IMG_5503.JPG,2016-03-05,2016-05-24,80,S11D33_a_HS,S11D33_a,a,HS,23,6,0,0,0,0,0,9.787688041965177,82,79,79,S11,D33,4,2.4469220104912943
IMG_2126.JPG,2016-03-11,2016-03-15,4,S11D33_a_LY,S11D33_a,a,LY,11,6,0,0,0,0,0,1079.9919027501746,6,3,3,S11,D33,11,98.1810820681977
IMG_2512.JPG,2016-03-11,2016-03-22,11,S11D33_a_LY,S11D33_a,a,LY,11,6,0,0,0,0,0,665.9430389143145,13,10,10,S11,D33,10,66.59430389143145
IMG_3160.JPG,2016-03-11,2016-03-29,18,S11D33_a_LY,S11D33_a,a,LY,11,6,0,0,0,0,0,1350.9747312748857,20,17,17,S11,D33,10,135.09747312748857
IMG_2928.JPG,2016-03-11,2016-04-05,25,S11D33_a_LY,S11D33_a,a,LY,11,6,0,0,0,0,0,2150.865361085185,27,24,24,S11,D33,10,215.08653610851852
IMG_3111.JPG,2016-03-11,2016-04-12,32,S11D33_a_LY,S11D33_a,a,LY,19,6,0,0,0,0,0,882.3520916898864,34,31,31,S11,D33,10,88.23520916898863
IMG_4738.JPG,2016-03-11,2016-04-19,39,S11D33_a_LY,S11D33_a,a,LY,11,6,0,0,0,0,0,70.75730345178245,41,38,38,S11,D33,10,7.075730345178245
IMG_4077.JPG,2016-03-11,2016-04-26,46,S11D33_a_LY,S11D33_a,a,LY,11,6,0,0,0,0,0,386.5186146424539,48,45,45,S11,D33,10,38.651861464245385
IMG_4492.JPG,2016-03-11,2016-05-03,53,S11D33_a_LY,S11D33_a,a,LY,11,6,0,0,0,0,0,260.0848044655533,55,52,52,S11,D33,10,26.008480446555332
IMG_5075.JPG,2016-03-11,2016-05-10,60,S11D33_a_LY,S11D33_a,a,LY,11,6,0,1,0,0,0,90.77377192610439,62,59,59,S11,D33,10,9.077377192610438
IMG_5460.JPG,2016-03-11,2016-05-24,74,S11D33_a_LY,S11D33_a,a,LY,11,6,0,0,0,0,0,0,76,73,73,S11,D33,6,0
IMG_2149.JPG,2016-03-08,2016-03-15,7,S11D33_a_STD,S11D33_a,a,STD,24,6,0,0,0,0,0,1393,9,6,6,S11,D33,24,58.041666666666664
IMG_2395.JPG,2016-03-08,2016-03-22,14,S11D33_a_STD,S11D33_a,a,STD,24,6,0,0,0,0,0,1272.855747928292,16,13,13,S11,D33,23,55.341554257751824
IMG_2785.JPG,2016-03-08,2016-03-29,21,S11D33_a_STD,S11D33_a,a,STD,24,6,0,0,0,0,0,2389.2073527209186,23,20,20,S11,D33,23,103.87858055308342
IMG_2581.JPG,2016-03-08,2016-04-05,28,S11D33_a_STD,S11D33_a,a,STD,24,6,0,0,0,0,0,808.2942003513806,30,27,27,S11,D33,23,35.14322610223394
IMG_3430.JPG,2016-03-08,2016-04-12,35,S11D33_a_STD,S11D33_a,a,STD,23,6,1,0,0,0,0,1907.275891012035,37,34,34,S11,D33,23,82.92503873965369
IMG_3893.JPG,2016-03-08,2016-04-19,42,S11D33_a_STD,S11D33_a,a,STD,24,6,0,0,0,0,0,1462.9513581046413,44,41,41,S11,D33,23,63.606580787158315
IMG_3622.JPG,2016-03-08,2016-04-26,49,S11D33_a_STD,S11D33_a,a,STD,24,6,0,0,0,0,0,167.75199909065103,51,48,48,S11,D33,23,7.293565177854393
IMG_4196.JPG,2016-03-08,2016-05-03,56,S11D33_a_STD,S11D33_a,a,STD,24,6,0,0,0,0,0,287.2804318455591,58,55,55,S11,D33,23,12.490453558502571
IMG_4863.JPG,2016-03-08,2016-05-10,63,S11D33_a_STD,S11D33_a,a,STD,24,6,0,0,0,0,0,155.12002563478146,65,62,62,S11,D33,22,7.050910256126429
IMG_5245.JPG,2016-03-08,2016-05-17,70,S11D33_a_STD,S11D33_a,a,STD,24,6,2,1,0,0,0,12.031175199991383,72,69,69,S11,D33,19,0.6332197473679675
IMG_5534.JPG,2016-03-08,2016-05-24,77,S11D33_a_STD,S11D33_a,a,STD,24,6,0,0,0,0,0,43.3031046705126,79,76,76,S11,D33,10,4.330310467051261
IMG_5612.JPG,2016-03-08,2016-05-31,84,S11D33_a_STD,S11D33_a,a,STD,24,6,0,0,0,0,0,6.9966379165563035,86,83,83,S11,D33,3,2.332212638852101
IMG_3209.JPG,2016-03-21,2016-03-29,8,S11D33_b_LY,S11D33_b,b,LY,18,6,0,0,0,0,0,1448.326863850796,10,7,7,S11,D33,18,80.46260354726644
IMG_2746.JPG,2016-03-21,2016-04-05,15,S11D33_b_LY,S11D33_b,b,LY,18,6,0,0,0,0,0,969.6047295340717,17,14,14,S11,D33,18,53.866929418559536
IMG_3961.JPG,2016-03-21,2016-04-12,22,S11D33_b_LY,S11D33_b,b,LY,16,6,0,0,0,0,0,300.1329514966245,24,21,21,S11,D33,18,16.674052860923585
IMG_3910.JPG,2016-03-21,2016-04-19,29,S11D33_b_LY,S11D33_b,b,LY,18,6,1,0,0,0,0,697.336649044254,31,28,28,S11,D33,18,38.740924946903
IMG_3639.JPG,2016-03-21,2016-04-26,36,S11D33_b_LY,S11D33_b,b,LY,18,6,0,0,0,0,0,535.6762879657352,38,35,35,S11,D33,14,38.26259199755252
IMG_4217.JPG,2016-03-21,2016-05-03,43,S11D33_b_LY,S11D33_b,b,LY,18,6,0,0,0,0,0,308.1866901418779,45,42,42,S11,D33,13,23.706668472452144
IMG_4877.JPG,2016-03-21,2016-05-10,50,S11D33_b_LY,S11D33_b,b,LY,18,6,0,0,0,0,0,364.78340685384745,52,49,49,S11,D33,13,28.060262065680572
IMG_5541.JPG,2016-03-21,2016-05-24,64,S11D33_b_LY,S11D33_b,b,LY,18,6,0,0,0,0,0,30.89167740983881,66,63,63,S11,D33,11,2.808334309985346
IMG_5618.JPG,2016-03-21,2016-05-31,71,S11D33_b_LY,S11D33_b,b,LY,18,6,0,0,0,0,0,20.08491384524478,73,70,70,S11,D33,8,2.5106142306555976
IMG_2019.JPG,2016-03-11,2016-03-15,4,S13D37_a_HS,S13D37_a,a,HS,24,6,1,0,0,0,0,526.5122133032892,6,3,3,S13,D37,24,21.93800888763705
IMG_2246.JPG,2016-03-11,2016-03-22,11,S13D37_a_HS,S13D37_a,a,HS,24,6,0,0,0,0,0,744.5867701046501,13,10,10,S13,D37,23,32.37333783063696
IMG_3288.JPG,2016-03-11,2016-03-29,18,S13D37_a_HS,S13D37_a,a,HS,24,6,0,0,0,0,0,671.4566937942094,20,17,17,S13,D37,22,30.5207588088277
IMG_2694.JPG,2016-03-11,2016-04-05,25,S13D37_a_HS,S13D37_a,a,HS,24,6,0,0,0,0,0,137.8033467913046,27,24,24,S13,D37,19,7.252807725858136
IMG_3522.JPG,2016-03-11,2016-04-12,32,S13D37_a_HS,S13D37_a,a,HS,24,6,2,0,0,0,0,560.8793945477652,34,31,31,S13,D37,16,35.05496215923532
IMG_3904.JPG,2016-03-11,2016-04-19,39,S13D37_a_HS,S13D37_a,a,HS,24,6,0,0,0,0,0,229.41367325091028,41,38,38,S13,D37,14,16.38669094649359
IMG_3633.JPG,2016-03-11,2016-04-26,46,S13D37_a_HS,S13D37_a,a,HS,24,6,1,0,0,0,0,153.530572021129,48,45,45,S13,D37,11,13.957324729193544
IMG_4211.JPG,2016-03-11,2016-05-03,53,S13D37_a_HS,S13D37_a,a,HS,24,6,1,0,0,0,0,50.98419629629724,55,52,52,S13,D37,9,5.6649106995885825
IMG_4872.JPG,2016-03-11,2016-05-10,60,S13D37_a_HS,S13D37_a,a,HS,24,6,1,0,0,0,0,10.662267781534716,62,59,59,S13,D37,3,3.554089260511572
