prop_data,prop_train,lower,r,MSD
1,0.1,43,0.946130429350441,1.0160838452634124
1,0.1,44,0.9469250318362241,0.9967020615179838
1,0.1,45,0.9473428877685851,0.978187472375783
1,0.1,46,0.9473458985274575,0.9612429246517354
1,0.1,47,0.9473180112472006,0.9424340010397672
1,0.1,48,0.9469932995733362,0.925891911133605
1,0.1,49,0.9463974548568783,0.9082372603707572
1,0.1,50,0.9456014889037684,0.891837394701427
1,0.1,51,0.9446023082592462,0.8774578926930838
1,0.1,52,0.9434257396734114,0.8611590263678507
1,0.2,43,0.9458008929731493,1.0002839562629129
1,0.2,44,0.9465885491349997,0.9814607674515627
1,0.2,45,0.9470295758068229,0.9635612411761859
1,0.2,46,0.9470218548956735,0.9470920249564891
1,0.2,47,0.9469975139427126,0.9286537377482309
1,0.2,48,0.9466718093932492,0.9124154383046656
1,0.2,49,0.9460616491510744,0.8950879161779771
1,0.2,50,0.9452617737499726,0.8789172112474567
1,0.2,51,0.9442466137202559,0.8651701503237961
1,0.2,52,0.943095752698729,0.849485603235894
1,0.30000000000000004,43,0.9453679349515131,0.9956683048715624
1,0.30000000000000004,44,0.9461774445785217,0.977015965394874
1,0.30000000000000004,45,0.9466287390783066,0.9597218018524811
1,0.30000000000000004,46,0.946631960493709,0.9433004855665108
1,0.30000000000000004,47,0.9465885942857538,0.9246504421088665
1,0.30000000000000004,48,0.9462478996418854,0.9085557438241573
1,0.30000000000000004,49,0.9456425030961478,0.8913323708534142
1,0.30000000000000004,50,0.9448221438191345,0.875281725338927
1,0.30000000000000004,51,0.9438101953564226,0.8615671382152413
1,0.30000000000000004,52,0.9426305140369773,0.845722087089436
1,0.4,43,0.9447285415646679,0.9935597000181211
1,0.4,44,0.9455941835136685,0.9753534979203476
1,0.4,45,0.945975114209293,0.9568262247183699
1,0.4,46,0.9459783997307749,0.9404891156969611
1,0.4,47,0.9459446753917011,0.9223418274013566
1,0.4,48,0.9456219199395799,0.9065482545015215
1,0.4,49,0.9449932456602178,0.8892942378461821
1,0.4,50,0.9441730991057613,0.8731781355719994
1,0.4,51,0.9431008937980009,0.8591922420222062
1,0.4,52,0.9419336835137517,0.8439214265823667
1,0.5,43,0.9437258278068923,0.9918620820721021
1,0.5,44,0.9445461662988257,0.9732577182086116
1,0.5,45,0.9449623215348558,0.9551137657597704
1,0.5,46,0.944983756621937,0.9393724346727306
1,0.5,47,0.944941908373999,0.9207681599295037
1,0.5,48,0.9446090744818533,0.9053009981709534
1,0.5,49,0.9439883992937416,0.8884558198616337
1,0.5,50,0.9431281284845483,0.8724320517788114
1,0.5,51,0.9420743672192657,0.8584646136427391
1,0.5,52,0.9408464132791088,0.8424887410451868
1,0.6,43,0.94204892877738855,0.9904814023323896
1,0.6,44,0.942947671038511,0.9724951205360175
1,0.6,45,0.9434075330499476,0.9547461966455244
1,0.6,46,0.9433821582789105,0.9387762409071019
1,0.6,47,0.9433636559286154,0.9205434144873769
1,0.6,48,0.942972579299283,0.9046355333573703
1,0.6,49,0.9423094805837109,0.8877753263036373
1,0.6,50,0.9414366395858791,0.8713989278151506
1,0.6,51,0.9402877707755708,0.857720331534593
1,0.6,52,0.9390539128310078,0.8419810216417768
1,0.7000000000000001,43,0.9385001982552024,0.9901398449471878
1,0.7000000000000001,44,0.9394411626590843,0.9719636011328291
1,0.7000000000000001,45,0.9398590943382712,0.9545093212254576
1,0.7000000000000001,46,0.9399076856052384,0.9382027120450067
1,0.7000000000000001,47,0.9398080119542133,0.9198331027729421
1,0.7000000000000001,48,0.9393636447497822,0.9039274054233094
1,0.7000000000000001,49,0.938669117323104,0.8865298620235456
1,0.7000000000000001,50,0.9376507854811277,0.8708050047632265
1,0.7000000000000001,51,0.9364516338023249,0.8573656481077966
1,0.7000000000000001,52,0.9350481327420355,0.8410742361008912
1,0.8,43,0.9297431654479134,0.989543260199139
1,0.8,44,0.9308669532475199,0.9714017225582979
1,0.8,45,0.9313215904646654,0.9534422511199849
1,0.8,46,0.9312886107865556,0.9371814763087345
1,0.8,47,0.9311885067290414,0.919100785132676
1,0.8,48,0.9306026405003798,0.904041841259504
1,0.8,49,0.9297236832874292,0.8856952843620407
1,0.8,50,0.9285071861968222,0.8701267940996052
1,0.8,51,0.9270272467379631,0.8566425364833883
1,0.8,52,0.925306290557794,0.840803605225951
1,0.9,43,0.8984860096563203,0.9902498588654809
1,0.9,44,0.8996461533521265,0.9701174075600604
1,0.9,45,0.900537154257412,0.9532315432091257
1,0.9,46,0.9005029214355997,0.9366987856388868
1,0.9,47,0.9000480275840865,0.9178010773533823
1,0.9,48,0.8989470217149672,0.9024974659867944
1,0.9,49,0.8977254701292564,0.8875033018809254
1,0.9,50,0.8959014320794259,0.8710091559229731
1,0.9,51,0.8936526173410185,0.8570247849627971
1,0.9,52,0.8909061973238582,0.8401688519241253
1,1,43,NA,NaN
1,1,44,NA,NaN
1,1,45,NA,NaN
1,1,46,NA,NaN
1,1,47,NA,NaN
1,1,48,NA,NaN
1,1,49,NA,NaN
1,1,50,NA,NaN
1,1,51,NA,NaN
1,1,52,NA,NaN
