"fID"	"treat"	"camera_id"	"handcounted"	"handcount"	"test_case"	"visually_recheck"	"setDate.x"	"flipDate.x"	"days.x"	"repl.x"	"NstartF.x"	"NstartM.x"	"box.x"	"ccoord.x"	"rcoord.x"	"deadF.x"	"deadM "	"cens.x"	"carriedF.x"	"carriedM.x"	"NA"	"id.x"	"setDate.y"	"flipDate.y"	"days.y"	"repl.y"	"NstartF.y"	"NstartM.y"	"box.y"	"ccoord.y"	"rcoord.y"	"deadF.y"	"deadM"	"cens.y"	"carriedF.y"	"carriedM.y"	"censSex"	"notes"	"flipper"	"time"	"id.y"
"S37D109_b"	"STD"	"IMG_3070.JPG"	NA	NA	NA	NA	2016-03-11	2016-04-12	32	"b"	22	6	3	5	3	0	0	0	0	0	NA	"S37D109_b_STD"	"3/11/16"	2016-04-12	32	"b"	22	6	3	5	3	0	0	0	0	0	""	""	""	""	"S37D109_b_STD"
"S3D7_a"	"STD"	"IMG_3071.JPG"	NA	NA	NA	NA	2016-03-05	2016-04-12	38	"a"	15	6	3	5	4	0	0	0	0	0	NA	"S3D7_a_STD"	"3/5/16"	2016-04-12	38	"a"	15	6	3	5	4	0	0	0	0	0	""	""	""	""	"S3D7_a_STD"
"S31D91_a"	"STD"	"IMG_3072.JPG"	NA	NA	NA	NA	2016-03-11	2016-04-12	32	"a"	24	6	3	5	5	0	0	0	0	0	NA	"S31D91_a_STD"	"3/11/16"	2016-04-12	32	"a"	24	6	3	5	5	0	0	0	0	0	""	""	""	""	"S31D91_a_STD"
"S13D38_b"	"STD"	"IMG_3073.JPG"	NA	NA	NA	NA	2016-03-24	2016-04-12	19	"b"	24	6	3	5	6	0	0	0	0	0	NA	"S13D38_b_STD"	"3/24/16"	2016-04-12	19	"b"	24	6	3	5	6	0	0	0	0	0	""	""	""	""	"S13D38_b_STD"
"S41D122_b"	"STD"	"IMG_3074.JPG"	NA	NA	NA	NA	2016-03-28	2016-04-12	15	"b"	17	6	3	5	7	0	0	0	0	0	NA	"S41D122_b_STD"	"3/28/16"	2016-04-12	15	"b"	17	6	3	5	7	0	0	0	0	0	""	""	""	""	"S41D122_b_STD"
"S45D135_b"	"STD"	"IMG_3075.JPG"	NA	NA	NA	NA	2016-03-21	2016-04-12	22	"b"	24	6	3	5	8	0	0	0	0	0	NA	"S45D135_b_STD"	"3/21/16"	2016-04-12	22	"b"	24	6	3	5	8	0	0	0	0	0	""	""	""	""	"S45D135_b_STD"
"S57D170_b"	"STD"	"IMG_3076.JPG"	NA	NA	NA	NA	2016-03-24	2016-04-12	19	"b"	16	6	3	5	10	0	0	0	0	0	NA	"S57D170_b_STD"	"3/24/16"	2016-04-12	19	"b"	16	6	3	5	10	0	0	0	0	0	""	""	""	""	"S57D170_b_STD"
"S21D63_a"	"STD"	"IMG_3077.JPG"	NA	NA	NA	NA	2016-03-15	2016-04-12	28	"a"	14	6	1	6	9	0	0	0	0	0	NA	"S21D63_a_STD"	"3/15/16"	2016-04-12	28	"a"	14	6	1	6	9	0	0	0	0	0	""	""	""	""	"S21D63_a_STD"
"S41D121_b"	"STD"	"IMG_3078.JPG"	NA	NA	NA	NA	2016-03-15	2016-04-12	28	"b"	18	6	3	2	1	0	0	0	0	0	NA	"S41D121_b_STD"	"3/15/16"	2016-04-12	28	"b"	18	6	3	2	1	0	0	0	0	0	""	""	""	""	"S41D121_b_STD"
"S59D175_b"	"STD"	"IMG_3079.JPG"	NA	NA	NA	NA	2016-03-24	2016-04-12	19	"b"	24	6	3	2	2	0	0	0	0	0	NA	"S59D175_b_STD"	"3/24/16"	2016-04-12	19	"b"	24	6	3	2	2	0	0	0	0	0	""	""	""	""	"S59D175_b_STD"
"S53D158_b"	"STD"	"IMG_3080.JPG"	NA	NA	NA	NA	2016-03-24	2016-04-12	19	"b"	24	6	3	2	3	0	0	0	0	0	NA	"S53D158_b_STD"	"3/24/16"	2016-04-12	19	"b"	24	6	3	2	3	0	0	0	0	0	""	""	""	""	"S53D158_b_STD"
"S27D81_a"	"STD"	"IMG_3081.JPG"	NA	NA	NA	NA	2016-03-05	2016-04-12	38	"a"	17	6	3	2	5	1	0	0	0	0	NA	"S27D81_a_STD"	"3/5/16"	2016-04-12	38	"a"	17	6	3	2	5	1	0	0	0	0	""	""	""	""	"S27D81_a_STD"
"S27D79_b"	"STD"	"IMG_3082.JPG"	NA	NA	NA	NA	2016-03-21	2016-04-12	22	"b"	22	6	3	2	4	0	0	0	0	0	NA	"S27D79_b_STD"	"3/21/16"	2016-04-12	22	"b"	22	6	3	2	4	0	0	0	0	0	""	""	""	""	"S27D79_b_STD"
"S41D122_a"	"STD"	"IMG_3083.JPG"	NA	NA	NA	NA	2016-03-15	2016-04-12	28	"a"	18	6	3	2	6	0	0	0	0	0	NA	"S41D122_a_STD"	"3/15/16"	2016-04-12	28	"a"	18	6	3	2	6	0	0	0	0	0	""	""	""	""	"S41D122_a_STD"
"S55D164_b"	"STD"	"IMG_3084.JPG"	NA	NA	NA	NA	2016-03-28	2016-04-12	15	"b"	24	6	3	2	7	0	0	0	0	0	NA	"S55D164_b_STD"	"3/28/16"	2016-04-12	15	"b"	24	6	3	2	7	0	0	0	0	0	""	""	""	""	"S55D164_b_STD"
"S3D9_a"	"STD"	"IMG_3085.JPG"	"yes"	985	NA	NA	2016-03-08	2016-04-12	35	"a"	24	6	3	8	10	0	0	0	0	0	NA	"S3D9_a_STD"	"3/8/16"	2016-04-12	35	"a"	24	6	3	8	10	0	0	0	0	0	""	""	""	""	"S3D9_a_STD"
"S55D165_a"	"STD"	"IMG_3086.JPG"	NA	NA	NA	NA	2016-03-02	2016-04-12	41	"a"	21	6	1	6	10	1	0	0	0	0	NA	"S55D165_a_STD"	"3/2/16"	2016-04-12	41	"a"	21	6	1	6	10	1	0	0	0	0	""	""	""	""	"S55D165_a_STD"
"S33D99_a"	"STD"	"IMG_3087.JPG"	NA	NA	NA	NA	2016-02-29	2016-04-12	43	"a"	21	6	3	5	9	0	0	0	0	0	NA	"S33D99_a_STD"	"2/29/16"	2016-04-12	43	"a"	21	6	3	5	9	0	0	0	0	0	""	""	""	""	"S33D99_a_STD"
"S17D50_b"	"STD"	"IMG_3088.JPG"	NA	NA	NA	NA	2016-03-11	2016-04-12	32	"b"	15	6	3	8	2	0	0	0	0	0	NA	"S17D50_b_STD"	"3/11/16"	2016-04-12	32	"b"	15	6	3	8	2	0	0	0	0	0	""	""	""	""	"S17D50_b_STD"
"S3D9_b"	"STD"	"IMG_3089.JPG"	NA	NA	NA	NA	2016-03-21	2016-04-12	22	"b"	17	6	3	8	6	0	0	0	0	0	NA	"S3D9_b_STD"	"3/21/16"	2016-04-12	22	"b"	17	6	3	8	6	0	0	0	0	0	""	""	""	""	"S3D9_b_STD"
"S7D21_b"	"STD"	"IMG_3090.JPG"	NA	NA	NA	NA	2016-03-21	2016-04-12	22	"b"	22	6	3	8	1	0	0	0	0	0	NA	"S7D21_b_STD"	"3/21/16"	2016-04-12	22	"b"	22	6	3	8	1	0	0	0	0	0	""	""	""	""	"S7D21_b_STD"
"S19D55_a"	"STD"	"IMG_3091.JPG"	NA	NA	NA	NA	2016-02-29	2016-04-12	43	"a"	20	6	3	8	3	1	0	0	0	0	NA	"S19D55_a_STD"	"2/29/16"	2016-04-12	43	"a"	20	6	3	8	3	1	0	0	0	0	""	""	""	""	"S19D55_a_STD"
"S13D39_b"	"STD"	"IMG_3092.JPG"	NA	NA	NA	NA	2016-03-21	2016-04-12	22	NA	21	6	3	8	9	0	0	0	0	0	NA	"S13D39_b_STD"	"3/21/16"	2016-04-12	22	""	21	6	3	8	9	0	0	0	0	0	""	""	""	""	"S13D39_b_STD"
"S5D13_a"	"STD"	"IMG_3093.JPG"	NA	NA	NA	NA	2016-03-11	2016-04-12	32	"a"	24	6	3	8	8	1	0	0	0	0	"repl b"	"S5D13_a_STD"	"3/11/16"	2016-04-12	32	"a"	24	6	3	8	8	1	0	0	0	0	""	""	""	""	"S5D13_a_STD"
"S37D109_a"	"STD"	"IMG_3094.JPG"	"yes"	740	NA	NA	2016-03-02	2016-04-12	41	"a"	24	6	3	10	10	1	0	0	0	0	NA	"S37D109_a_STD"	"3/2/16"	2016-04-12	41	"a"	24	6	3	10	10	1	0	0	0	0	""	""	""	""	"S37D109_a_STD"
"S9D26_a"	"STD"	"IMG_3095.JPG"	NA	NA	NA	NA	2016-03-08	2016-04-12	35	"a"	22	6	3	8	4	0	0	0	0	0	NA	"S9D26_a_STD"	"3/8/16"	2016-04-12	35	"a"	22	6	3	8	4	0	0	0	0	0	""	""	""	""	"S9D26_a_STD"
"S1D2_b"	"STD"	"IMG_3096.JPG"	NA	NA	NA	NA	2016-03-15	2016-04-12	28	"b"	16	6	3	8	5	0	0	0	0	0	NA	"S1D2_b_STD"	"3/15/16"	2016-04-12	28	"b"	16	6	3	8	5	0	0	0	0	0	""	""	""	""	"S1D2_b_STD"
